"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5838.1.id.csv";"peptide.count.P5838.2.id.csv";"spectra.count.P5838.1.id.csv";"spectra.count.P5838.2.id.csv";"dNSAF.P5838.1.id.csv";"dNSAF.P5838.2.id.csv";"Go.Cc";"norm.sc"
"267";267;"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";5;32;0,00315319591580448;4;5;17;15;0,00335706556295554;0,0029508854507611;"mitochondrial nucleoid, mitochondrion, extracellular vesicular exosome, integral component of plasma membrane, mitochondrial inner membrane, MMXD complex, nucleus, membrane";0,00152366441291306
"309";309;"P08195";"P08195-1,P08195-2,P08195-3,P08195-4";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";19;44;0,000321398514054947;18;18;24;20;0,000350282051036678;0,00029245661398624;"integral component of membrane, apical plasma membrane, melanosome, extracellular vesicular exosome, plasma membrane, cytoplasm, cell junction, membrane, nucleus";0,00209503856775545
"366";366;"P12236";"P12236";"ADT3_HUMAN";"ADP/ATP translocase 3";"SLC25A6";4;10;0,000985373723688901;3;4;3;7;0,000592423334639213;0,00137707987702185;"nucleus, integral component of membrane, mitochondrial inner membrane, mitochondrion, mitochondrial inner membrane presequence translocase complex";0,00047614512903533
"791";791;"P53007";"P53007";"TXTP_HUMAN";"Tricarboxylate transport protein, mitochondrial";"SLC25A1";1;2;0,000118375366182179;1;1;1;1;0,000118262428806595;0,000118487245537834;"mitochondrial inner membrane, nucleus, integral component of membrane, extracellular vesicular exosome";9,5229025807066e-05
"799";799;"P53985";"P53985";"MOT1_HUMAN";"Monocarboxylate transporter 1";"SLC16A1";1;1;3,68147388826575e-05;1;NA;1;NA;7,35592307177023e-05;NA;"centrosome, mitochondrion, plasma membrane, integral component of membrane, extracellular vesicular exosome, integral component of plasma membrane, membrane";4,7614512903533e-05
"999";999;"Q00325";"Q00325-2";"MPCP_HUMAN";"Phosphate carrier protein, mitochondrial";"SLC25A3";9;20;0,00101698173708999;9;8;10;10;0,00101601147400141;0,00101794291055984;"integral component of plasma membrane, extracellular vesicular exosome, mitochondrial inner membrane, membrane, mitochondrion";0,00095229025807066
"1015";1015;"Q01650";"Q01650";"LAT1_HUMAN";"Large neutral amino acids transporter small subunit 1";"SLC7A5";2;3;0,000108919345806679;1;2;1;2;7,25436200371818e-05;0,000145363050738723;"cytosol, nucleus, plasma membrane, nucleolus, integral component of membrane, apical plasma membrane, membrane, extracellular vesicular exosome";0,000142843538710599
"1024";1024;"Q02978";"Q02978";"M2OM_HUMAN";"Mitochondrial 2-oxoglutarate/malate carrier protein";"SLC25A11";5;10;0,000586221956730216;5;3;6;4;0,000702795197939831;0,000469420807162627;"mitochondrion, integral component of plasma membrane, mitochondrial inner membrane, nucleus";0,00047614512903533
"1199";1199;"Q15758";"Q15758-1";"AAAT_HUMAN";"Neutral amino acid transporter B(0)";"SLC1A5";10;19;0,000646469536756463;8;10;9;10;0,000611860514287727;0,000681137400411575;"integral component of plasma membrane, extracellular vesicular exosome, plasma membrane, membrane, Golgi apparatus, melanosome";0,000904675745167127
"1330";1330;"Q8NBI5";"Q8NBI5";"S43A3_HUMAN";"Solute carrier family 43 member 3";"SLC43A3";1;2;7,49791015940072e-05;1;1;1;1;7,49075669223038e-05;7,50499661145952e-05;"integral component of membrane";9,5229025807066e-05
"1588";1588;"Q9NY26";"Q9NY26";"S39A1_HUMAN";"Zinc transporter ZIP1";"SLC39A1";1;2;0,000113625737292153;1;1;1;1;0,000113517331354479;0,000113733127661316;"endoplasmic reticulum membrane, plasma membrane, integral component of membrane, membrane";9,5229025807066e-05
"1619";1619;"Q9UBX3";"Q9UBX3-1,Q9UBX3-2";"DIC_HUMAN";"Mitochondrial dicarboxylate carrier";"SLC25A10";2;5;0,000160342939384397;2;2;2;3;0,000128151969891467;0,000192593379942158;"nucleus, mitochondrial inner membrane, integral component of membrane";0,000238072564517665
"1637";1637;"Q9UJS0";"Q9UJS0-1,Q9UJS0-2";"CMC2_HUMAN";"Calcium-binding mitochondrial carrier protein Aralar2";"SLC25A13";3;5;6,81754423752918e-05;3;2;3;2;8,17324785752248e-05;5,45919012774314e-05;"mitochondrial inner membrane, mitochondrion, integral component of plasma membrane";0,000238072564517665
"137";137;"O75027";"O75027-1,O75027-2";"ABCB7_HUMAN";"ATP-binding cassette sub-family B member 7, mitochondrial";"ABCB7";2;2;2,4477884895384e-05;NA;2;NA;2;NA;4,90020390455668e-05;"integral component of membrane, mitochondrial inner membrane, mitochondrion";9,5229025807066e-05
"871";871;"P61221";"P61221";"ABCE1_HUMAN";"ATP-binding cassette sub-family E member 1";"ABCE1";11;23;0,000706793818281405;8;11;10;13;0,000614016950899018;0,000799739455274559;"membrane, cytoplasm, mitochondrion";0,00109513379678126
"1339";1339;"Q8NE71";"Q8NE71-1,Q8NE71-2";"ABCF1_HUMAN";"ATP-binding cassette sub-family F member 1";"ABCF1";5;13;0,000141595149548683;5;5;6;7;0,000130578516066927;0,000152631203275659;"ribosome, polysomal ribosome, nuclear envelope, membrane, cytoplasm, nucleoplasm";0,000618988667745929
