"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5839.1.id.csv";"peptide.count.P5839.2.id.csv";"spectra.count.P5839.1.id.csv";"spectra.count.P5839.2.id.csv";"dNSAF.P5839.1.id.csv";"dNSAF.P5839.2.id.csv";"Go.Cc";"norm.sc"
"21";21;"O00400";"O00400";"ACATN_HUMAN";"Acetyl-coenzyme A transporter 1";"SLC33A1";1;1;3,09117690893699e-05;1;NA;1;NA;6,19416228263051e-05;NA;"endoplasmic reticulum membrane, Golgi membrane, membrane, integral component of plasma membrane";4,39193640476086e-05
"46";46;"O14745";"O14745";"NHRF1_HUMAN";"Na(+)/H(+) exchange regulatory cofactor NHE-RF1";"SLC9A3R1";2;3;0,000142211406955844;2;NA;3;NA;0,000284966069259566;NA;"microvillus membrane, filopodium, sperm midpiece, plasma membrane, actin cytoskeleton, ruffle, intracellular membrane-bounded organelle, apical plasma membrane, membrane, microvillus, vesicle, brush border membrane, extracellular vesicular exosome, cell periphery, membrane raft, centrosome, endomembrane system, cytoplasm";0,000131758092142826
"57";57;"O14975";"O14975-1,O14975-2";"S27A2_HUMAN";"Very long-chain acyl-CoA synthetase";"SLC27A2";1;1;1,36859364758581e-05;NA;1;NA;1;NA;2,73336404696856e-05;"endoplasmic reticulum lumen, extracellular vesicular exosome, endoplasmic reticulum membrane, integral component of peroxisomal membrane, integral component of endoplasmic reticulum membrane, mitochondrion, peroxisomal membrane";4,39193640476086e-05
"264";264;"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";5;41;0,00357683112602807;5;5;19;22;0,00354790580189792;0,00360319753455957;"mitochondrial nucleoid, mitochondrion, extracellular vesicular exosome, integral component of plasma membrane, mitochondrial inner membrane, MMXD complex, nucleus, membrane";0,00180069392595195
"306";306;"P08195";"P08195-1,P08195-2,P08195-3,P08195-4";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";16;36;0,000242436589000915;14;14;19;17;0,000256394074484599;0,000228648071865465;"integral component of membrane, apical plasma membrane, melanosome, extracellular vesicular exosome, plasma membrane, cytoplasm, cell junction, membrane, nucleus";0,00158109710571391
"369";369;"P12236";"P12236";"ADT3_HUMAN";"ADP/ATP translocase 3";"SLC25A6";3;6;0,000523438701369962;3;2;3;3;0,000560195652931251;0,000491345118349032;"nucleus, integral component of membrane, mitochondrial inner membrane, mitochondrion, mitochondrial inner membrane presequence translocase complex";0,000263516184285652
"815";815;"P53007";"P53007";"TXTP_HUMAN";"Tricarboxylate transport protein, mitochondrial";"SLC25A1";2;4;0,000218270883987962;2;2;2;2;0,000218687787341746;0,000217966007603924;"mitochondrial inner membrane, nucleus, integral component of membrane, extracellular vesicular exosome";0,000175677456190434
"823";823;"P53985";"P53985";"MOT1_HUMAN";"Monocarboxylate transporter 1";"SLC16A1";1;2;6,78822449202563e-05;1;1;1;1;6,8011901863283e-05;6,77874283648202e-05;"centrosome, mitochondrion, plasma membrane, integral component of membrane, extracellular vesicular exosome, integral component of plasma membrane, membrane";8,78387280952172e-05
"1034";1034;"Q00325";"Q00325-1,Q00325-2";"MPCP_HUMAN";"Phosphate carrier protein, mitochondrial";"SLC25A3";9;19;0,000445360032280687;8;8;10;9;0,000469695454856927;0,000421330701162557;"integral component of plasma membrane, extracellular vesicular exosome, mitochondrial inner membrane, membrane, mitochondrion";0,000834467916904563
"1050";1050;"Q01650";"Q01650";"LAT1_HUMAN";"Large neutral amino acids transporter small subunit 1";"SLC7A5";2;4;0,000133890029428513;2;2;2;2;0,000134145763043951;0,000133703014526273;"cytosol, nucleus, plasma membrane, nucleolus, integral component of membrane, apical plasma membrane, membrane, extracellular vesicular exosome";0,000175677456190434
"1059";1059;"Q02978";"Q02978";"M2OM_HUMAN";"Mitochondrial 2-oxoglutarate/malate carrier protein";"SLC25A11";2;2;0,000108092746688306;NA;2;NA;2;NA;0,000215883529824268;"mitochondrion, integral component of plasma membrane, mitochondrial inner membrane, nucleus";8,78387280952172e-05
"1231";1231;"Q15758";"Q15758-1";"AAAT_HUMAN";"Neutral amino acid transporter B(0)";"SLC1A5";7;13;0,000407795371517251;6;6;6;7;0,000377145481681791;0,000438550830456323;"integral component of plasma membrane, extracellular vesicular exosome, plasma membrane, membrane, Golgi apparatus, melanosome";0,000570951732618912
"1376";1376;"Q8N357";"Q8N357";"S35F6_HUMAN";"Solute carrier family 35 member F6";"SLC35F6";2;2;9,14855052833643e-05;NA;2;NA;2;NA;0,000182715440336443;"extracellular vesicular exosome, lysosomal membrane, mitochondrion, integral component of membrane";8,78387280952172e-05
"1382";1382;"Q8NBI5";"Q8NBI5";"S43A3_HUMAN";"Solute carrier family 43 member 3";"SLC43A3";2;2;6,91265223220533e-05;2;NA;2;NA;0,000138517111737847;NA;"integral component of membrane";8,78387280952172e-05
"1657";1657;"Q9NY26";"Q9NY26";"S39A1_HUMAN";"Zinc transporter ZIP1";"SLC39A1";1;4;0,000209513101605729;1;1;2;2;0,000209913277355812;0,000209220457916112;"endoplasmic reticulum membrane, plasma membrane, integral component of membrane, membrane";0,000175677456190434
"1703";1703;"Q9UJS0";"Q9UJS0-1,Q9UJS0-2";"CMC2_HUMAN";"Calcium-binding mitochondrial carrier protein Aralar2";"SLC25A13";3;3;3,77123582890313e-05;NA;3;NA;3;NA;7,53193648498002e-05;"mitochondrial inner membrane, mitochondrion, integral component of plasma membrane";0,000131758092142826
"136";136;"O75027";"O75027-1,O75027-2";"ABCB7_HUMAN";"ATP-binding cassette sub-family B member 7, mitochondrial";"ABCB7";1;1;1,12836178391384e-05;NA;1;NA;1;NA;2,2535714217028e-05;"integral component of membrane, mitochondrial inner membrane, mitochondrion";4,39193640476086e-05
"895";895;"P61221";"P61221";"ABCE1_HUMAN";"ATP-binding cassette sub-family E member 1";"ABCE1";12;26;0,000736618684443516;12;8;14;12;0,000794796849821337;0,000679005960248616;"membrane, cytoplasm, mitochondrion";0,00114190346523782
"1389";1389;"Q8NE71";"Q8NE71-1,Q8NE71-2";"ABCF1_HUMAN";"ATP-binding cassette sub-family F member 1";"ABCF1";5;8;8,03340176571081e-05;2;5;3;5;6,03655933697778e-05;0,000100277260894704;"ribosome, polysomal ribosome, nuclear envelope, membrane, cytoplasm, nucleoplasm";0,000351354912380869
"1687";1687;"Q9UG63";"Q9UG63";"ABCF2_HUMAN";"ATP-binding cassette sub-family F member 2";"ABCF2";2;2;5,44801323597563e-05;2;NA;2;NA;0,000109168381803022;NA;"membrane, ATP-binding cassette (ABC) transporter complex, mitochondrial envelope";8,78387280952172e-05
