"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P6169.1.id.csv";"peptide.count.P6169.2.id.csv";"spectra.count.P6169.1.id.csv";"spectra.count.P6169.2.id.csv";"dNSAF.P6169.1.id.csv";"dNSAF.P6169.2.id.csv";"Go.Cc";"norm.sc";"matched_mask"
"1";1;"O60814";"O60814,P06899,P23527,P33778,P57053,P58876,P62807,Q16778,Q5QNW6-1,Q5QNW6-2,Q93079,Q99877,Q99879";"H2B1B_HUMAN, H2B1C_HUMAN, H2B1D_HUMAN, H2B1H_HUMAN, H2B1J_HUMAN, H2B1K_HUMAN, H2B1M_HUMAN, H2B1N_HUMAN, H2B1O_HUMAN, H2B2E_HUMAN, H2B2F_HUMAN, H2BFS_HUMAN";"Histone H2B type 1-B, Histone H2B type 1-C/E/F/G/I, Histone H2B type 1-D, Histone H2B type 1-H, Histone H2B type 1-J, Histone H2B type 1-K, Histone H2B type 1-M, Histone H2B type 1-N, Histone H2B type 1-O, Histone H2B type 2-E, Histone H2B type 2-F, Histone H2B type F-S";"H2BFS, HIST1H2BB, HIST1H2BD, HIST1H2BH, HIST1H2BI,HIST1H2BG,HIST1H2BC,HIST1H2BE,HIST1H2BF, HIST1H2BJ, HIST1H2BK, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST2H2BE, HIST2H2BF";6;45;0,056602781198922;6;6;23;22;0,0870935869623835;0,0697309206678684;"nucleosome, nucleoplasm";0,1875;FALSE
"9";9;"P06748";"P06748-1,P06748-2,P06748-3";"NPM_HUMAN";"Nucleophosmin";"NPM1";1;5;0,0116799389775553;1;NA;5;NA;NA;NA;"spindle pole centrosome, centrosome, cytosol, nucleolus, ribonucleoprotein complex, nucleoplasm, nucleus, cytoplasm";0,0208333333333333;FALSE
"19";19;"P22626";"P22626-1,P22626-2";"ROA2_HUMAN";"Heterogeneous nuclear ribonucleoproteins A2/B1";"HNRNPA2B1";1;1;0,00680943751156059;1;0;1;0;NA;NA;"spliceosomal complex, cytoplasm, catalytic step 2 spliceosome, ribonucleoprotein complex, nucleoplasm";0,00416666666666667;FALSE
"28";28;"P68363";"P68363,Q71U36-1,Q71U36-2,Q9BQE3";"TBA1A_HUMAN, TBA1B_HUMAN, TBA1C_HUMAN";"Tubulin alpha-1A chain, Tubulin alpha-1B chain, Tubulin alpha-1C chain";"TUBA1A, TUBA1B, TUBA1C";3;6;0,00686018169469732;3;2;3;3;0,017494450946357;0,0146434933402524;"cytoplasmic microtubule, microtubule";0,025;FALSE
"35";35;"Q93077";"P0C0S8,Q6FI13,Q93077,Q96KK5,Q99878";"H2A1_HUMAN, H2A1C_HUMAN, H2A1H_HUMAN, H2A1J_HUMAN, H2A2A_HUMAN";"Histone H2A type 1, Histone H2A type 1-C, Histone H2A type 1-H, Histone H2A type 1-J, Histone H2A type 2-A";"HIST1H2AC, HIST1H2AH, HIST1H2AJ, HIST1H2AK,HIST1H2AI,HIST1H2AG,HIST1H2AL,HIST1H2AM, HIST2H2AA4,HIST2H2AA3";1;8;0,0765451852250438;1;1;5;3;0,113741012344736;0,0663037430653841;"nucleus, nucleosome";0,0333333333333333;FALSE
