"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P6159.1.id.csv";"peptide.count.P6159.2.id.csv";"spectra.count.P6159.1.id.csv";"spectra.count.P6159.2.id.csv";"dNSAF.P6159.1.id.csv";"dNSAF.P6159.2.id.csv";"Go.Cc";"norm.sc"
"14";14;"P05496";"P05496,P48201,Q06055-1,Q06055-2,Q06055-3";"AT5G1_HUMAN, AT5G2_HUMAN, AT5G3_HUMAN";"ATP synthase F(0) complex subunit C1, mitochondrial, ATP synthase F(0) complex subunit C2, mitochondrial, ATP synthase F(0) complex subunit C3, mitochondrial";"ATP5G1, ATP5G2, ATP5G3";1;1;0,00244691085806621;1;NA;1;NA;0,0117110207327967;NA;"integral component of membrane, mitochondrial proton-transporting ATP synthase complex, mitochondrial inner membrane, mitochondrion, proton-transporting ATP synthase complex, coupling factor F(o)";0,00476190476190476
"28";28;"P12236";"P12236";"ADT3_HUMAN";"ADP/ATP translocase 3";"SLC25A6";1;1;0,00575598829363896;1;NA;1;NA;0,0109250461869714;NA;"mitochondrion, mitochondrial inner membrane, integral component of membrane, mitochondrial inner membrane presequence translocase complex";0,00476190476190476
"39";39;"P30049";"P30049";"ATPD_HUMAN";"ATP synthase subunit delta, mitochondrial";"ATP5D";2;2;0,0204200537083858;2;NA;2;NA;0,0387579019490177;NA;"mitochondrial proton-transporting ATP synthase complex, catalytic core F(1), mitochondrion, mitochondrial inner membrane, mitochondrial proton-transporting ATP synthase complex, mitochondrial matrix";0,00952380952380952
"43";43;"P39656";"P39656";"OST48_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit";"DDOST";1;1;0,00376158884101845;1;NA;1;NA;0,00713961351692431;NA;"integral component of membrane, protein complex, intracellular membrane-bounded organelle, oligosaccharyltransferase complex, endoplasmic reticulum, endoplasmic reticulum membrane";0,00476190476190476
"67";67;"Q15363";"Q15363";"TMED2_HUMAN";"Transmembrane emp24 domain-containing protein 2";"TMED2";1;2;0,0170675075771583;1;NA;2;NA;0,0323946643155969;NA;"endoplasmic reticulum-Golgi intermediate compartment membrane, Golgi apparatus, intracellular membrane-bounded organelle, endoplasmic reticulum-Golgi intermediate compartment, Golgi cisterna membrane, integral component of membrane, endoplasmic reticulum, COPI-coated vesicle, COPI-coated vesicle membrane, zymogen granule membrane, endoplasmic reticulum membrane";0,00952380952380952
