"";"x"
"1";"162648"
"2";"O60814"
"3";"O75822"
"4";"P01891"
"5";"P01892"
"6";"P02768"
"7";"P04908"
"8";"P06576"
"9";"P06899"
"10";"P08195"
"11";"P08238"
"12";"P08575"
"13";"P09001"
"14";"P09622"
"15";"P0C0S8"
"16";"P10316"
"17";"P10809"
"18";"P13987"
"19";"P14625"
"20";"P17301"
"21";"P18463"
"22";"P20671"
"23";"P23527"
"24";"P25705"
"25";"P28074"
"26";"P28906"
"27";"P30461"
"28";"P30464"
"29";"P30479"
"30";"P30481"
"31";"P30483"
"32";"P30485"
"33";"P30486"
"34";"P30487"
"35";"P30488"
"36";"P30490"
"37";"P33778"
"38";"P35613"
"39";"P40926"
"40";"P42765"
"41";"P52758"
"42";"P55084"
"43";"P56192"
"44";"P57053"
"45";"P58876"
"46";"P61221"
"47";"P61604"
"48";"P61769"
"49";"P62807"
"50";"P69905"
"51";"P84098"
"52";"Q04826"
"53";"Q13449"
"54";"Q14151"
"55";"Q14152"
"56";"Q15424"
"57";"Q16777"
"58";"Q16778"
"59";"Q5QNW6"
"60";"Q5T4T6"
"61";"Q6FI13"
"62";"Q6UB99"
"63";"Q7L7L0"
"64";"Q86UE4"
"65";"Q8N257"
"66";"Q8N3K9"
"67";"Q8WZ42"
"68";"Q93034"
"69";"Q93077"
"70";"Q93079"
"71";"Q96A08"
"72";"Q96KK5"
"73";"Q99877"
"74";"Q99878"
"75";"Q99879"
"76";"Q99880"
"77";"Q9BTM1"
"78";"Q9BUQ8"
"79";"Q9UII4"
"80";"Q9UPN3"
"81";"Q9UQ35"
