"","x"
"336","Q9UNM6-1"
"337","Q9UNM6-2"
"338","P35232"
"339","P61981"
"340","O15143"
"341","P22061-1"
"342","P22061-2"
"343","Q9Y265-1"
"344","Q9Y265-2"
"345","P32969"
"346","Q02878"
"347","P08865"
"348","P25398"
"349","Q00325-1"
"350","Q00325-2"
"351","Q14444-1"
"352","Q14444-2"
"353","O00303"
"354","Q15029-1"
"355","Q15029-2"
"356","P16150"
"357","Q9Y5M8"
"358","Q96AG4"
"359","O43242"
"360","Q15366-3"
"361","Q15366-6"
"362","Q15366-4"
"363","P62851"
"364","Q99714-1"
"365","O75822"
"366","P30153"
"367","P50552"
"368","P62899-1"
"369","P61353"
"370","P35998"
"371","P09012"
"372","P27708"
"373","Q9H9B4"
"374","P04233-2"
"375","P62917"
"376","P26368-1"
"377","P26368-2"
"378","P18621"
"379","P09382"
"380","Q02543"
"381","Q15365"
"382","Q7Z406-1"
"383","Q7Z406-2"
"384","Q7Z406-6"
"385","Q6PKG0-1"
"386","P29590-1"
"387","P29590-8"
"388","P29590-5"
"389","P29590-9"
"390","P29590-3"
"391","P29590-2"
"392","P29590-4"
"393","P17980"
"394","Q15008"
"395","Q7L2H7"
"396","Q12874"
"397","O00231-1"
"398","O00231-2"
"399","Q8N1G4"
"400","Q15637-1"
"401","Q15637-3"
"402","Q15637-6"
"403","Q15637-4"
"404","Q15637-5"
"405","Q15637-2"
"406","P62750"
"407","P06753-2"
"408","P06753-3"
"409","O75947-1"
"410","P24539"
"411","P61254"
"412","P27635"
"413","P49257"
"414","Q01844-1"
"415","Q01844-3"
"416","Q01844-5"
"417","O43175"
"418","P60660-1"
"419","P60660-2"
"420","Q9Y285"
"421","Q9ULV4"
"422","Q9P0L0-1"
"423","Q9P0L0-2"
"424","Q16698"
"425","P31146"
"426","P62847-1"
"427","P62847-3"
"428","P62847-2"
"429","P62140"
"430","P40429"
"431","P29966"
"432","P28066"
"433","O43707"
"434","P62826"
"435","P62333"
"436","P17858-1"
"437","Q13247-1"
"438","Q13247-3"
"439","Q9UMS4"
"440","P07195"
"441","P48047"
"442","O76094"
"443","P62937"
"444","P63010-1"
"445","P63010-2"
"446","P49755"
"447","P62495"
"448","Q06187"
"449","P62244"
"450","Q9UQ35-1"
"451","A6NHL2-1"
"452","A6NHL2-2"
"453","P34931"
"454","O15371"
"455","P24534"
"456","P33991"
"457","P31948"
"458","P17066"
"459","P62263"
"460","P14678-1"
"461","P14678-3"
"462","P63162"
"463","P14678-2"
"464","P23528"
"465","Q9UL46"
"466","O14818-1"
"467","P62316"
"468","Q15084-1"
"469","Q15084-2"
"470","P62873"
"471","P62266"
"472","Q9UHX1-2"
"473","Q9UHX1-6"
"474","Q9UHX1-4"
"475","P63173"
"476","P27816-1"
"477","P27816-5"
"478","P27816-6"
"479","P0C0S5"
"480","Q71UI9-1"
"481","P29144"
"482","Q04837"
"483","P25787"
"484","Q00688"
"485","Q02790"
"486","O00487"
"487","Q16629-1"
"488","Q16629-3"
"489","Q16629-2"
"490","Q09666-1"
"491","Q9BSJ8-1"
"492","Q9BSJ8-2"
"493","P39748"
"494","Q96A26"
"495","O15145"
"496","P62854"
"497","P16989-1"
"498","P16989-2"
"499","P16989-3"
"500","P62879"
"501","P29692-1"
"502","P29692-2"
"503","O94905-1"
"504","P62191"
"505","P84098"
"506","P36957"
"507","P20618"
"508","P62195"
"509","Q01082-1"
"510","P20042"
"511","P61313"
"512","O43396"
"513","Q86YZ3"
"514","P11908-1"
"515","P11908-2"
"516","P18859"
"517","O43809"
