"","x"
"518","P08559-1"
"519","P08559-2"
"520","P08559-3"
"521","P08559-4"
"522","Q13155"
"523","O14950"
"524","P19105"
"525","O14828-1"
"526","O14828-2"
"527","Q8IX12-1"
"528","Q8IX12-2"
"529","Q07666-1"
"530","Q07666-2"
"531","P30048"
"532","P05387"
"533","P53999"
"534","Q13576-1"
"535","136429.0"
"536","P35268"
"537","Q92843-2"
"538","P61513"
"539","Q07021"
"540","P39656"
"541","P20231"
"542","Q15661-1"
"543","Q15661-2"
"544","P12270"
"545","O75369-1"
"546","O75369-8"
"547","O75369-3"
"548","O75369-9"
"549","O75369-2"
"550","O75369-6"
"551","P67936-1"
"552","P54578"
"553","P54136-1"
"554","P04908"
"555","Q93077"
"556","P0C0S8"
"557","Q99878"
"558","P20671"
"559","Q96KK5"
"560","Q9BTM1-1"
"561","Q7L7L0"
"562","O15511-1"
"563","Q99436"
"564","P51571"
"565","Q07020"
"566","P42704"
"567","P05455"
"568","P49458-1"
"569","P49207"
"570","P84090"
"571","O00232-1"
"572","Q13442"
"573","A8MWD9"
"574","P62308"
"575","O60869-1"
"576","O60869-2"
"577","P52292"
"578","P49736"
"579","P60866-1"
"580","P60866-2"
"581","Q13283"
"582","P13674-2"
"583","P13674-3"
"584","Q99873-1"
"585","Q99873-3"
"586","Q99873-2"
"587","Q92804-1"
"588","Q92804-2"
"589","P62318"
"590","Q32MZ4-3"
"591","P47897"
"592","P48735"
"593","P09234"
"594","P33176"
"595","P28074-1"
"596","Q16186"
"597","P28072"
"598","P28070"
"599","P47813"
"600","Q9P035"
"601","O75531"
"602","Q8WXX5"
"603","P35658-1"
"604","P35658-2"
"605","P35658-4"
"606","P35658-5"
"607","P35658-3"
"608","Q9UBQ5"
"609","P12004"
"610","Q86V81"
"611","Q9BVC6"
"612","Q9BPX5"
"613","Q9Y383-1"
"614","Q9Y383-2"
"615","P59998"
"616","P11177-1"
"617","P11177-2"
"618","Q32MZ4-1"
"619","O43719"
"620","P52701-1"
"621","Q9BXP5-1"
"622","Q9BXP5-2"
"623","Q9BXP5-5"
"624","Q9BXP5-3"
"625","Q9BXP5-4"
"626","P48556"
"627","P55209"
"628","A0FGR8-2"
"629","P30049"
"630","P13164"
"631","Q9UPN3-1"
"632","P08579"
"633","P62857"
"634","P55036-1"
"635","P48444"
"636","Q16630-1"
"637","Q16630-2"
"638","Q16630-3"
"639","P78344-1"
"640","P78344-2"
"641","Q9Y237-1"
"642","Q9Y237-2"
"643","Q9BWJ5"
"644","P06454-1"
"645","P06454-2"
"646","Q9UNL2"
"647","P06493-1"
"648","P28062-1"
"649","P28062-2"
"650","Q5H9R7-1"
"651","Q5H9R7-6"
"652","Q5H9R7-4"
"653","Q5H9R7-5"
"654","Q5H9R7-2"
"655","Q5H9R7-3"
"656","Q8WWY3-1"
"657","Q8WWY3-3"
"658","Q8WWY3-2"
"659","O75937"
"660","O75477"
"661","Q13813-1"
"662","Q13813-2"
"663","Q13813-3"
"664","Q9BR76"
"665","P82979"
"666","P47756-1"
"667","P47756-2"
"668","Q02218-1"
"669","Q02218-2"
"670","P12036-1"
"671","P12036-2"
"672","P09496-2"
"673","P62913-1"
"674","P62913-2"
"675","Q01130"
"676","Q8IWX8"
"677","P42677"
"678","Q9Y3F4"
"679","Q15369"
"680","P63220"
"681","Q52LJ0"
"682","Q9Y6M1-1"
"683","Q9Y6M1-2"
"684","Q9Y6M1-4"
"685","Q9Y6M1-3"
"686","Q9Y6M1-6"
"687","Q9Y6M1-5"
"688","P53618"
"689","Q9Y3B4"
"690","P12268"
"691","Q15125"
"692","P52907"
"693","Q9NPJ3"
"694","P51665"
"695","P25685"
"696","O75964"
"697","P62304"
"698","P52815"
"699","O95197-1"
"700","O95197-2"
"701","O95197-4"
"702","O95197-3"
"703","Q8NE71-1"
"704","Q8NE71-2"
"705","P49720"
"706","Q9UN86-1"
"707","Q9UN86-2"
"708","O94903"
"709","P03952"
"710","P81605-1"
"711","P81605-2"
"712","Q12931"
"713","P55735"
"714","P37802"
"715","P98179"
"716","P49721"
"717","P10599"
"718","P62306"
"719","O94979-1"
"720","O94979-8"
"721","O94979-4"
"722","O94979-9"
"723","O94979-3"
"724","O94979-7"
"725","O94979-2"
"726","O94979-6"
"727","P05165-2"
"728","Q15003"
"729","O14744-1"
"730","O14744-2"
"731","Q7Z5L9-1"
"732","Q7Z5L9-2"
"733","P37108"
"734","Q9NTJ3-1"
"735","Q96IX5"
