"","x"
"1","P05023-1"
"2","P20701-1"
"3","P20701-2"
"4","O15031"
"5","P05107"
"6","P13612"
"7","Q13308-1"
"8","Q13308-6"
"9","P01892"
"10","P09874"
"11","Q9BQE3"
"12","P05556-1"
"13","P20700"
"14","P10316"
"15","Q04826"
"16","O14672"
"17","P50895"
"18","Q13885"
"19","P30479"
"20","Q9NR30-1"
"21","P78347-1"
"22","P78347-2"
"23","P78347-3"
"24","P78347-4"
"25","P30459"
"26","Q8NC51-1"
"27","Q04637-6"
"28","O43390-1"
"29","P30460"
"30","P30480"
"31","P30464"
"32","P30508"
"33","P17813-1"
"34","P17813-2"
"35","Q9ULF5"
"36","P18465"
"37","P30447"
"38","P03989"
"39","Q13740-1"
"40","Q13740-2"
"41","P43121-1"
"42","P30453"
"43","Q92854-1"
"44","P12236"
"45","P30486"
"46","P42167-1"
"47","P30481"
"48","P27694"
"49","Q14839-1"
"50","Q14839-2"
"51","P30491"
"52","P30685"
"53","P01889"
"54","P30487"
"55","P30488"
"56","Q9NPH3-1"
"57","P30495"
"58","P10319"
"59","Q29940"
"60","P30492"
"61","P18463"
"62","P00505"
"63","P08648"
"64","Q9NY65-1"
"65","Q9NY65-2"
"66","P30490"
"67","P98172"
"68","P58876"
"69","P04222"
"70","P16190"
"71","P30475"
"72","Q29836"
"73","Q95365"
"74","P16188"
"75","P07954-1"
"76","P07954-2"
"77","P30499"
"78","Q9P2B2"
"79","P23634-1"
"80","P23634-8"
"81","P23634-7"
"82","P23634-6"
"83","P09429"
"84","Q31612"
"85","P04439"
"86","P35613-1"
"87","P35613-2"
"88","P49792"
"89","P06899"
"90","Q16778"
"91","P23527"
"92","P33778"
"93","Q15262-2"
"94","Q15262-3"
"95","P30466"
"96","Q14126"
"97","Q9Y4D7-1"
"98","P10321"
"99","Q95604"
"100","Q13449"
"101","Q09028-1"
"102","Q09028-3"
"103","Q14978-1"
"104","Q14978-3"
"105","Q14978-2"
"106","Q8N257"
"107","P42167-2"
"108","Q14204"
"109","Q02338"
"110","P30501"
"111","P32942"
"112","P00367"
"113","O95373"
"114","P42765"
"115","P48960-1"
"116","P48960-2"
"117","P48960-3"
"118","P07948-1"
"119","P07948-2"
"120","P53675-1"
"121","P53675-2"
"122","P27105-1"
"123","P37268"
"124","P61604"
"125","Q8WTV0-2"
"126","Q8WTV0-4"
"127","P42081-1"
"128","P42081-3"
"129","Q09160"
"130","Q99623"
"131","P01903"
"132","Q15424"
"133","P35613-3"
"134","Q92692-1"
"135","P16615-1"
"136","P16615-3"
"137","P16615-2"
"138","P16615-4"
"139","P16615-5"
"140","Q3ZCM7"
"141","P16284-1"
"142","P16284-2"
"143","P16284-3"
"144","P16284-6"
"145","Q9Y624"
"146","Q5Y7A7"
"147","P11388-1"
"148","P11388-4"
"149","P11388-2"
"150","P11388-3"
"151","Q8N183"
"152","Q13733-1"
"153","P04899-1"
"154","P04899-4"
"155","Q16891-1"
"156","Q16891-2"
"157","P46779-1"
"158","Q13011"
"159","O43278-1"
"160","Q8TEX9-1"
"161","Q8TEX9-2"
"162","P62979"
