"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P6157.1.id.csv";"peptide.count.P6157.2.id.csv";"spectra.count.P6157.1.id.csv";"spectra.count.P6157.2.id.csv";"dNSAF.P6157.1.id.csv";"dNSAF.P6157.2.id.csv";"Go.Cc";"norm.sc"
"27";27;"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";2;6;0,00090632234700295;2;2;3;3;0,0011432813516803;0,00127091589534476;"membrane, actin cytoskeleton, integral component of plasma membrane, plasma membrane, nuclear membrane";0,00115942028985507
"96";96;"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";1;1;0,000612832056782196;1;0;1;0;0,001585759369221;0;"integral component of membrane, mitochondrial nucleoid, integral component of plasma membrane, mitochondrion, mitochondrial inner membrane, MMXD complex";0,000193236714975845
"124";124;"P08195";"P08195-1,P08195-2,P08195-3,P08195-4";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";23;46;0,00128215839962917;21;15;27;19;NA;NA;"integral component of membrane, apical plasma membrane, cytoplasm, nucleus, melanosome, cell junction, plasma membrane, extracellular vesicular exosome";0,00888888888888889
"152";152;"P11169";"P11169,Q8TDB8-1,Q8TDB8-2,Q8TDB8-3";"GTR14_HUMAN, GTR3_HUMAN";"Solute carrier family 2, facilitated glucose transporter member 14, Solute carrier family 2, facilitated glucose transporter member 3";"SLC2A14, SLC2A3";1;1;3,4163415317475e-05;NA;1;NA;1;NA;0,000397161217295238;"extracellular vesicular exosome, integral component of membrane, plasma membrane";0,000193236714975845
"159";159;"P12236";"P12236";"ADT3_HUMAN";"ADP/ATP translocase 3";"SLC25A6";3;4;0,00245132822712878;2;2;2;2;0,003171518738442;0,00330523429158453;"mitochondrion, mitochondrial inner membrane, integral component of membrane, mitochondrial inner membrane presequence translocase complex";0,000772946859903382
"390";390;"P53985";"P53985";"MOT1_HUMAN";"Monocarboxylate transporter 1";"SLC16A1";4;10;0,00140479963785457;3;4;5;5;0,00177208609510447;0,00196991963778438;"extracellular vesicular exosome, plasma membrane, membrane, integral component of membrane, mitochondrion, centrosome, integral component of plasma membrane";0,00193236714975845
"507";507;"Q01650";"Q01650";"LAT1_HUMAN";"Large neutral amino acids transporter small subunit 1";"SLC7A5";3;6;0,00083124238926306;3;2;3;3;0,00104857165390797;0,0011656329217659;"nucleolus, plasma membrane, nucleus, integral component of membrane, extracellular vesicular exosome, cytosol, apical plasma membrane";0,00115942028985507
"567";567;"Q15043";"Q15043-1,Q15043-2,Q15043-3";"S39AE_HUMAN";"Zinc transporter ZIP14";"SLC39A14";2;5;0,000237940318064799;2;2;2;3;NA;NA;"Golgi apparatus, endoplasmic reticulum, plasma membrane, integral component of plasma membrane, integral component of membrane, lamellipodium";0,000966183574879227
"581";581;"Q15758";"Q15758-1";"AAAT_HUMAN";"Neutral amino acid transporter B(0)";"SLC1A5";6;11;0,00142816968728284;4;5;4;7;NA;NA;"Golgi apparatus, integral component of plasma membrane, extracellular vesicular exosome, membrane, plasma membrane, melanosome";0,0021256038647343
"615";615;"Q8N357";"Q8N357";"S35F6_HUMAN";"Solute carrier family 35 member F6";"SLC35F6";1;3;0,000567978290237697;1;1;1;2;0,000477651238572633;0,0010619512872153;"integral component of membrane, extracellular vesicular exosome, mitochondrion, lysosomal membrane";0,000579710144927536
"619";619;"Q8NBI5";"Q8NBI5";"S43A3_HUMAN";"Solute carrier family 43 member 3";"SLC43A3";1;1;0,000143054952938347;NA;1;NA;1;NA;0,000401205628876656;"integral component of membrane";0,000193236714975845
"653";653;"Q99808";"Q99808";"S29A1_HUMAN";"Equilibrative nucleoside transporter 1";"SLC29A1";1;1;0,00015403504801037;1;NA;1;NA;0,000388615371733436;NA;"basolateral plasma membrane, apical plasma membrane, integral component of plasma membrane, plasma membrane, membrane";0,000193236714975845
"696";696;"Q9ULF5";"Q9ULF5";"S39AA_HUMAN";"Zinc transporter ZIP10";"SLC39A10";6;6;0,000507147883702012;3;3;3;3;0,000639742272600891;0,000711162324109884;"integral component of membrane";0,00115942028985507
"720";720;"Q9Y666";"Q9Y666-1";"S12A7_HUMAN";"Solute carrier family 12 member 7";"SLC12A7";2;2;0,000129713724640311;2;NA;2;NA;NA;NA;"plasma membrane, integral component of plasma membrane";0,000386473429951691
"297";297;"P33527";"P33527-1,P33527-2,P33527-3,P33527-4,P33527-5,P33527-6,P33527-7,P33527-8,P33527-9";"MRP1_HUMAN";"Multidrug resistance-associated protein 1";"ABCC1";4;5;2,54880549723233e-05;4;NA;5;NA;NA;NA;"integral component of plasma membrane, membrane, plasma membrane, extracellular vesicular exosome";0,000966183574879227
"416";416;"P61221";"P61221";"ABCE1_HUMAN";"ATP-binding cassette sub-family E member 1";"ABCE1";2;4;0,000469048293106702;2;2;2;2;0,000591681500869605;0,000657736106104968;"cytoplasm, mitochondrion";0,000772946859903382
