"";"x"
"1";"162648"
"2";"O14776"
"3";"O60264"
"4";"O60814"
"5";"P01889"
"6";"P01891"
"7";"P01892"
"8";"P01903"
"9";"P01912"
"10";"P03989"
"11";"P04222"
"12";"P04439"
"13";"P05107"
"14";"P05534"
"15";"P06899"
"16";"P07948"
"17";"P08575"
"18";"P09622"
"19";"P0C0S8"
"20";"P10314"
"21";"P10316"
"22";"P10319"
"23";"P10321"
"24";"P10809"
"25";"P13612"
"26";"P13746"
"27";"P13987"
"28";"P16070"
"29";"P16188"
"30";"P16189"
"31";"P16190"
"32";"P17301"
"33";"P18462"
"34";"P18463"
"35";"P18464"
"36";"P18465"
"37";"P19013"
"38";"P20039"
"39";"P20671"
"40";"P20700"
"41";"P20701"
"42";"P23284"
"43";"P23527"
"44";"P25705"
"45";"P28074"
"46";"P28370"
"47";"P28906"
"48";"P30443"
"49";"P30447"
"50";"P30450"
"51";"P30453"
"52";"P30455"
"53";"P30456"
"54";"P30457"
"55";"P30459"
"56";"P30460"
"57";"P30461"
"58";"P30462"
"59";"P30464"
"60";"P30466"
"61";"P30475"
"62";"P30479"
"63";"P30480"
"64";"P30481"
"65";"P30483"
"66";"P30484"
"67";"P30485"
"68";"P30486"
"69";"P30487"
"70";"P30488"
"71";"P30490"
"72";"P30491"
"73";"P30492"
"74";"P30493"
"75";"P30495"
"76";"P30498"
"77";"P30499"
"78";"P30501"
"79";"P30504"
"80";"P30505"
"81";"P30508"
"82";"P30510"
"83";"P30512"
"84";"P30622"
"85";"P30685"
"86";"P33778"
"87";"P35613"
"88";"P40926"
"89";"P42345"
"90";"P43121"
"91";"P57053"
"92";"P58876"
"93";"P61604"
"94";"P61769"
"95";"P61964"
"96";"P62805"
"97";"P62807"
"98";"P68431"
"99";"P84243"
"100";"Q04826"
"101";"Q07000"
"102";"Q12873"
"103";"Q13433"
"104";"Q13449"
"105";"Q13740"
"106";"Q14839"
"107";"Q15019"
"108";"Q16531"
"109";"Q16695"
"110";"Q16777"
"111";"Q16778"
"112";"Q29718"
"113";"Q29836"
"114";"Q29865"
"115";"Q29940"
"116";"Q29963"
"117";"Q30134"
"118";"Q31610"
"119";"Q5QNW6"
"120";"Q5Y7A7"
"121";"Q69YQ0"
"122";"Q6DN03"
"123";"Q6DRA6"
"124";"Q6FI13"
"125";"Q6NXT2"
"126";"Q6PXP3"
"127";"Q6ZV73"
"128";"Q71DI3"
"129";"Q8IYE0"
"130";"Q8N257"
"131";"Q8NB49"
"132";"Q8TDI0"
"133";"Q8WZ42"
"134";"Q92854"
"135";"Q93079"
"136";"Q95365"
"137";"Q95604"
"138";"Q95IE3"
"139";"Q96A08"
"140";"Q96KK5"
"141";"Q99877"
"142";"Q99878"
"143";"Q99879"
"144";"Q99880"
"145";"Q99996"
"146";"Q9BTM1"
"147";"Q9BX67"
"148";"Q9BZK3"
"149";"Q9GIY3"
"150";"Q9NPH9"
"151";"Q9TNN7"
"152";"Q9ULF5"
