"";"x"
"1";"162648"
"2";"A5A3E0"
"3";"B2RPK0"
"4";"O60814"
"5";"P00558"
"6";"P01903"
"7";"P01912"
"8";"P02765"
"9";"P02768"
"10";"P04406"
"11";"P05141"
"12";"P06899"
"13";"P07437"
"14";"P08195"
"15";"P08238"
"16";"P08575"
"17";"P09429"
"18";"P0C0S8"
"19";"P0CG38"
"20";"P0CG39"
"21";"P10412"
"22";"P10599"
"23";"P10809"
"24";"P13598"
"25";"P13760"
"26";"P13987"
"27";"P14625"
"28";"P16070"
"29";"P16402"
"30";"P16403"
"31";"P18463"
"32";"P20671"
"33";"P23284"
"34";"P23527"
"35";"P30461"
"36";"P30464"
"37";"P30479"
"38";"P30481"
"39";"P30483"
"40";"P30485"
"41";"P30486"
"42";"P30487"
"43";"P30488"
"44";"P30490"
"45";"P33778"
"46";"P37108"
"47";"P40926"
"48";"P46779"
"49";"P52209"
"50";"P54709"
"51";"P57053"
"52";"P58876"
"53";"P60709"
"54";"P61604"
"55";"P61769"
"56";"P62736"
"57";"P62807"
"58";"P63261"
"59";"P63267"
"60";"P68032"
"61";"P68104"
"62";"P68133"
"63";"P69905"
"64";"P84098"
"65";"Q02543"
"66";"Q04826"
"67";"Q13740"
"68";"Q16777"
"69";"Q16778"
"70";"Q5QNW6"
"71";"Q5VTE0"
"72";"Q6FI13"
"73";"Q6S8J3"
"74";"Q8N257"
"75";"Q92979"
"76";"Q93079"
"77";"Q96A08"
"78";"Q96KK5"
"79";"Q99877"
"80";"Q99878"
"81";"Q99879"
"82";"Q99880"
"83";"Q9BTM1"
"84";"Q9ULF5"
"85";"Q9Y237"
