"";"protein.g";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P6286-1.id.csv";"peptide.count.P6286-2.id.csv";"spectra.count.P6286-1.id.csv";"spectra.count.P6286-2.id.csv";"dNSAF.P6286-1.id.csv";"dNSAF.P6286-2.id.csv"
"P10412,P16402";"P10412,P16402";"P10412, P16402";"H13_HUMAN, H14_HUMAN";"Histone H1.3, Histone H1.4";"HIST1H1D, HIST1H1E";9;78;0,060647807731704;9;8;46;32;0,0702138419573575;0,0598563066811166
"P11142-1";"P11142-1";"P11142-1";"HSP7C_HUMAN";"Heat shock cognate 71 kDa protein";"HSPA8";7;14;0,00863328884251507;5;4;8;6;NA;NA
"P13639";"P13639";"P13639";"EF2_HUMAN";"Elongation factor 2";"EEF2";1;3;0,0011962092254774;1;1;2;1;0,00156552601911611;0,000959235683992253
"P13796";"P13796";"P13796";"PLSL_HUMAN";"Plastin-2";"LCP1";1;3;0,00163691788749538;1;NA;3;NA;0,00321344814450149;NA
"P31943,P55795";"P31943,P55795";"P31943, P55795";"HNRH1_HUMAN, HNRH2_HUMAN";"Heterogeneous nuclear ribonucleoprotein H, Heterogeneous nuclear ribonucleoprotein H2";"HNRNPH1, HNRNPH2";1;2;0,000761950642508988;1;1;1;1;0,00074789606035725;0,000916508036598388
"P35527";"P35527";"P35527";"K1C9_HUMAN";"Keratin, type I cytoskeletal 9";"KRT9";1;11;0,00604056857680881;1;1;4;7;0,00431210698042254;0,00924746311084666
"P35579-1";"P35579-1";"P35579-1";"MYH9_HUMAN";"Myosin-9";"MYH9";6;9;0,00157094007468307;4;5;4;5;NA;NA
"P37108";"P37108";"P37108";"SRP14_HUMAN";"Signal recognition particle 14 kDa protein";"SRP14";1;2;0,00503111527186082;1;1;1;1;0,00493831369265302;0,00605164865342171
"P51149";"P51149";"P51149";"RAB7A_HUMAN";"Ras-related protein Rab-7a";"RAB7A";1;1;0,00165273351925863;1;NA;1;NA;0,00324449595266092;NA
"P51991-1,P51991-2";"P51991-1,P51991-2";"P51991-[1,2]";"ROA3_HUMAN";"Heterogeneous nuclear ribonucleoprotein A3";"HNRNPA3";1;1;0,000452534177892243;1;NA;1;NA;NA;NA
"P52597";"P52597";"P52597";"HNRPF_HUMAN";"Heterogeneous nuclear ribonucleoprotein F";"HNRNPF";1;1;0,000824375514425387;NA;1;NA;1;NA;0,0019831908840129
"P55209-1,P55209-2";"P55209-1,P55209-2";"P55209-[1,2]";"NP1L1_HUMAN";"Nucleosome assembly protein 1-like 1";"NAP1L1";1;2;0,000874976569019272;1;1;1;1;NA;NA
"P60174-1,P60174-3";"P60174-1,P60174-3";"P60174-[1,3]";"TPIS_HUMAN";"Triosephosphate isomerase";"TPI1";4;21;0,0125601968675127;4;4;11;10;NA;NA
"P60709,P63261";"P60709,P63261";"P63261, P60709";"ACTB_HUMAN, ACTG_HUMAN";"Actin, cytoplasmic 1, Actin, cytoplasmic 2";"ACTB, ACTG1";6;40;0,0182461780526152;6;6;20;20;0,0179096176586883;0,0219473124497427
"P62241";"P62241";"P62241";"RS8_HUMAN";"40S ribosomal protein S8";"RPS8";1;3;0,00493436305509426;1;NA;3;NA;0,00968669224328092;NA
"P62263";"P62263";"P62263";"RS14_HUMAN";"40S ribosomal protein S14";"RPS14";1;1;0,00226566780454659;1;NA;1;NA;0,00444775272980669;NA
"P62854";"P62854";"P62854";"RS26_HUMAN";"40S ribosomal protein S26";"RPS26";1;1;0,00297492033466553;1;NA;1;NA;0,00584009271478966;NA
"P68431,P84243,Q16695,Q71DI3";"P68431,P84243,Q16695,Q71DI3";"Q71DI3, P68431, P84243, Q16695";"H31_HUMAN, H31T_HUMAN, H32_HUMAN, H33_HUMAN";"Histone H3.1, Histone H3.1t, Histone H3.2, Histone H3.3";"H3F3B,H3F3A, HIST1H3A,HIST1H3B,HIST1H3J,HIST1H3E,HIST1H3D,HIST1H3H,HIST1H3F,HIST1H3I,HIST1H3G,HIST1H3C, HIST2H3D,HIST2H3C,HIST2H3A, HIST3H3";6;77;0,0484244844916603;4;6;35;42;0,0432102448107139;0,063542310860928
"Q00839-1,Q00839-2";"Q00839-1,Q00839-2";"Q00839-[1,2]";"HNRPU_HUMAN";"Heterogeneous nuclear ribonucleoprotein U";"HNRNPU";1;3;0,000622028797248246;1;NA;3;NA;NA;NA
"Q04837";"Q04837";"Q04837";"SSBP_HUMAN";"Single-stranded DNA-binding protein, mitochondrial";"SSBP1";1;1;0,0023115935032874;NA;1;NA;1;NA;0,00556097443827941
"Q13151";"Q13151";"Q13151";"ROA0_HUMAN";"Heterogeneous nuclear ribonucleoprotein A0";"HNRNPA0";1;2;0,00224338254745269;1;1;1;1;0,0022020021711502;0,00269844005529624
"Q13263-1,Q13263-2";"Q13263-1,Q13263-2";"Q13263-[1,2]";"TIF1B_HUMAN";"Transcription intermediary factor 1-beta";"TRIM28";1;2;0,000409719567049743;1;NA;2;NA;NA;NA
"Q14103-1,Q14103-2,Q14103-3,Q14103-4";"Q14103-1,Q14103-2,Q14103-3,Q14103-4";"Q14103-[1-4]";"HNRPD_HUMAN";"Heterogeneous nuclear ribonucleoprotein D0";"HNRNPD";1;2;0,000963706587286015;0;1;0;2;NA;NA
"Q9BVC6";"Q9BVC6";"Q9BVC6";"TM109_HUMAN";"Transmembrane protein 109";"TMEM109";1;1;0,00140788410899809;NA;1;NA;1;NA;0,00338693093360228
"P62807";"P62807";"P62807";"H2B1C_HUMAN";"Histone H2B type 1-C/E/F/G/I";"HIST1H2BI,HIST1H2BG,HIST1H2BC,HIST1H2BE,HIST1H2BF";0;0;NA;0;0;0;0;NA;NA
"O60814";"O60814";"O60814";"H2B1K_HUMAN";"Histone H2B type 1-K";"HIST1H2BK";0;0;NA;0;0;0;0;NA;NA
"Q16778";"Q16778";"Q16778";"H2B2E_HUMAN";"Histone H2B type 2-E";"HIST2H2BE";0;0;NA;0;0;0;0;NA;NA
"P06899";"P06899";"P06899";"H2B1J_HUMAN";"Histone H2B type 1-J";"HIST1H2BJ";0;0;NA;0;0;0;0;NA;NA
"P68363";"P68363";"P68363";"TBA1B_HUMAN";"Tubulin alpha-1B chain";"TUBA1B";6;13;0,00986143215149659;6;3;9;4;0,0134024300660916;0,00729954959525812
"P07910-1,P07910-2";"P07910-1,P07910-2";"P07910-[1,2]";"HNRPC_HUMAN";"Heterogeneous nuclear ribonucleoproteins C1/C2";"HNRNPC";5;13;0,00726716650379896;5;3;8;5;NA;NA
"O60506-1,O60506-2,O60506-3,O60506-4";"O60506-1,O60506-2,O60506-3,O60506-4";"O60506-[1-4]";"HNRPQ_HUMAN";"Heterogeneous nuclear ribonucleoprotein Q";"SYNCRIP";2;2;0,00054914259789171;1;1;1;1;NA;NA
"P0C0S8,P20671,Q16777,Q6FI13,Q96KK5,Q99878,Q9BTM1-1";"P0C0S8,P20671,Q16777,Q6FI13,Q96KK5,Q99878,Q9BTM1-1";"P0C0S8, P20671, Q16777, Q6FI13, Q96KK5, Q99878, Q9BTM1-1";"H2A1_HUMAN, H2A1D_HUMAN, H2A1H_HUMAN, H2A1J_HUMAN, H2A2A_HUMAN, H2A2C_HUMAN, H2AJ_HUMAN";"Histone H2A type 1, Histone H2A type 1-D, Histone H2A type 1-H, Histone H2A type 1-J, Histone H2A type 2-A, Histone H2A type 2-C, Histone H2A.J";"H2AFJ, HIST1H2AD, HIST1H2AH, HIST1H2AJ, HIST1H2AK,HIST1H2AI,HIST1H2AG,HIST1H2AL,HIST1H2AM, HIST2H2AA4,HIST2H2AA3, HIST2H2AC";1;2;0,00479365850386738;1;1;1;1;0,00519956641703853;0,00743376712007416
"O43390-1,O43390-2";"O43390-1,O43390-2";"O43390-[1,2]";"HNRPR_HUMAN";"Heterogeneous nuclear ribonucleoprotein R";"HNRNPR";2;3;0,00162140207813524;2;1;2;1;NA;NA
"Q95604";"Q95604";"Q95604";"1C17_HUMAN";"HLA class I histocompatibility antigen, Cw-17 alpha chain";"HLA-C";1;2;0,00245244328664183;1;NA;2;NA;0,00481441334910975;NA
