"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5835.1.id.csv";"peptide.count.P5835.2.id.csv";"spectra.count.P5835.1.id.csv";"spectra.count.P5835.2.id.csv";"dNSAF.P5835.1.id.csv";"dNSAF.P5835.2.id.csv";"Go.Cc";"norm.sc"
"21";21;"O00400";"O00400";"ACATN_HUMAN";"Acetyl-coenzyme A transporter 1";"SLC33A1";4;7;0,000256951720223341;4;3;4;3;0,000294737511774856;0,000219640073567934;"endoplasmic reticulum membrane, Golgi membrane, membrane, integral component of plasma membrane";0,000353000504286435
"51";51;"O14975";"O14975-1";"S27A2_HUMAN";"Very long-chain acyl-CoA synthetase";"SLC27A2";12;22;0,00071508361217915;9;12;9;13;0,000587216953903049;0,000842780217771151;"endoplasmic reticulum lumen, extracellular vesicular exosome, endoplasmic reticulum membrane, integral component of peroxisomal membrane, integral component of endoplasmic reticulum membrane, mitochondrion, peroxisomal membrane";0,00110943015632879
"76";76;"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";5;12;0,000520060808857564;5;5;6;6;0,000521970625691599;0,000518633980166862;"actin cytoskeleton, plasma membrane, integral component of plasma membrane, membrane, nuclear membrane";0,000605143721633888
"104";104;"O43772";"O43772";"MCAT_HUMAN";"Mitochondrial carnitine/acylcarnitine carrier protein";"SLC25A20";5;9;0,000602562149797593;5;4;5;4;0,000671972151014933;0,000534141308477499;"mitochondrial inner membrane, mitochondrion, integral component of membrane";0,000453857791225416
"105";105;"O43808";"O43808";"PM34_HUMAN";"Peroxisomal membrane protein PMP34";"SLC25A17";8;14;0,000918999963534946;6;7;6;8;0,000790606973767406;0,00104740412932721;"peroxisomal membrane, peroxisome, membrane, mitochondrion, intracellular membrane-bounded organelle, integral component of peroxisomal membrane";0,000706001008572869
"108";108;"O43826";"O43826-1,O43826-2";"G6PT1_HUMAN";"Glucose-6-phosphate translocase";"SLC37A4";2;5;0,00011743797402815;2;2;3;2;0,000141443089129717;9,36926187947129e-05;"endoplasmic reticulum, membrane, integral component of endoplasmic reticulum membrane, integral component of membrane, endoplasmic reticulum membrane";0,000252143217347453
"138";138;"O75387";"O75387-1,O75387-2";"LAT3_HUMAN";"Large neutral amino acids transporter small subunit 3";"SLC43A1";2;4;7,21014538219342e-05;2;2;2;2;7,2366231647762e-05;7,19036376796634e-05;"integral component of plasma membrane, plasma membrane";0,000201714573877963
"150";150;"O75746";"O75746";"CMC1_HUMAN";"Calcium-binding mitochondrial carrier protein Aralar1";"SLC25A12";9;13;0,000515202817034411;5;8;5;8;0,000404868176533333;0,000624035607249369;"mitochondrial inner membrane, integral component of membrane, mitochondrion";0,000655572365103379
"251";251;"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";4;50;0,00714315487700802;4;3;25;25;0,00702846547142646;0,00726741210981805;"mitochondrial nucleoid, mitochondrion, extracellular vesicular exosome, integral component of plasma membrane, mitochondrial inner membrane, MMXD complex, nucleus, membrane";0,00252143217347453
"276";276;"P08195";"P08195-1,P08195-2,P08195-3,P08195-4";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";25;68;0,000543793742595111;22;25;31;37;0,000497632709612725;0,000590151959574793;"integral component of membrane, apical plasma membrane, melanosome, extracellular vesicular exosome, plasma membrane, cytoplasm, cell junction, membrane, nucleus";0,00342914775592537
"309";309;"P11166";"P11166";"GTR1_HUMAN";"Solute carrier family 2, facilitated glucose transporter member 1";"SLC2A1";4;7;0,000324949919355615;4;3;4;3;0,000365426589802158;0,000285933876260694;"female pronucleus, basolateral plasma membrane, plasma membrane, caveola, midbody, integral component of plasma membrane, extracellular vesicular exosome, membrane, blood microparticle, cell-cell junction, melanosome, cortical actin cytoskeleton";0,000353000504286435
"310";310;"P11169";"P11169";"GTR3_HUMAN";"Solute carrier family 2, facilitated glucose transporter member 3";"SLC2A3";5;8;0,000368376406274108;5;3;5;3;0,000453099501468402;0,000283627957903753;"extracellular vesicular exosome, integral component of membrane, plasma membrane";0,000403429147755925
"324";324;"P12235";"P12235";"ADT1_HUMAN";"ADP/ATP translocase 1";"SLC25A4";2;4;0,000559691458533428;2;2;2;2;0,000567448567019466;0,000551099145337805;"nucleus, mitochondrial inner membrane, integral component of plasma membrane, mitochondrion";0,000201714573877963
"325";325;"P12236";"P12236";"ADT3_HUMAN";"ADP/ATP translocase 3";"SLC25A6";2;19;0,00304958540463864;2;1;10;9;0,00326387750278869;0,00283698050179587;"nucleus, integral component of membrane, mitochondrial inner membrane, mitochondrion, mitochondrial inner membrane presequence translocase complex";0,000958144225920323
"348";348;"P14672";"P14672";"GTR4_HUMAN";"Solute carrier family 2, facilitated glucose transporter member 4";"SLC2A4";1;1;3,95920556841466e-05;NA;1;NA;1;NA;7,89668633849348e-05;"integral component of plasma membrane, multivesicular body, coated pit, insulin-responsive compartment, external side of plasma membrane, plasma membrane, membrane, sarcolemma, endomembrane system, extracellular vesicular exosome, vesicle membrane, clathrin-coated vesicle, trans-Golgi network transport vesicle, perinuclear region of cytoplasm";5,04286434694907e-05
