"";"x"
"1";"162648"
"2";"A8MXY4"
"3";"O15427"
"4";"O60814"
"5";"O75323"
"6";"O75390"
"7";"O75592"
"8";"P00367"
"9";"P00505"
"10";"P01889"
"11";"P01891"
"12";"P01892"
"13";"P02768"
"14";"P03989"
"15";"P04439"
"16";"P04908"
"17";"P05534"
"18";"P06899"
"19";"P08195"
"20";"P08238"
"21";"P08575"
"22";"P09622"
"23";"P0C0S8"
"24";"P10314"
"25";"P10316"
"26";"P10319"
"27";"P10809"
"28";"P11717"
"29";"P13746"
"30";"P14625"
"31";"P16188"
"32";"P16189"
"33";"P16190"
"34";"P16402"
"35";"P17661"
"36";"P18462"
"37";"P18463"
"38";"P18464"
"39";"P18465"
"40";"P18621"
"41";"P20648"
"42";"P20671"
"43";"P20701"
"44";"P23284"
"45";"P23527"
"46";"P25705"
"47";"P26373"
"48";"P26639"
"49";"P30443"
"50";"P30447"
"51";"P30450"
"52";"P30453"
"53";"P30455"
"54";"P30456"
"55";"P30457"
"56";"P30459"
"57";"P30460"
"58";"P30461"
"59";"P30462"
"60";"P30464"
"61";"P30466"
"62";"P30475"
"63";"P30479"
"64";"P30480"
"65";"P30481"
"66";"P30483"
"67";"P30484"
"68";"P30485"
"69";"P30486"
"70";"P30487"
"71";"P30488"
"72";"P30490"
"73";"P30491"
"74";"P30492"
"75";"P30493"
"76";"P30495"
"77";"P30498"
"78";"P30512"
"79";"P30685"
"80";"P33778"
"81";"P35613"
"82";"P35637"
"83";"P35659"
"84";"P40926"
"85";"P40939"
"86";"P42765"
"87";"P49448"
"88";"P51812"
"89";"P53396"
"90";"P55072"
"91";"P56192"
"92";"P57053"
"93";"P58876"
"94";"P60709"
"95";"P61221"
"96";"P61604"
"97";"P61769"
"98";"P62491"
"99";"P62805"
"100";"P62807"
"101";"P62820"
"102";"P63092"
"103";"P63261"
"104";"P68431"
"105";"P84243"
"106";"Q00341"
"107";"Q02224"
"108";"Q02338"
"109";"Q04826"
"110";"Q13011"
"111";"Q13423"
"112";"Q13740"
"113";"Q14697"
"114";"Q14839"
"115";"Q15907"
"116";"Q16695"
"117";"Q16777"
"118";"Q16778"
"119";"Q29718"
"120";"Q29836"
"121";"Q29940"
"122";"Q31610"
"123";"Q31612"
"124";"Q5JWF2"
"125";"Q5QNW6"
"126";"Q6DN03"
"127";"Q6DRA6"
"128";"Q6FI13"
"129";"Q6NXT2"
"130";"Q71DI3"
"131";"Q7L7L0"
"132";"Q86UE4"
"133";"Q8IUE6"
"134";"Q8IZX4"
"135";"Q8N257"
"136";"Q8WXH0"
"137";"Q8WZ42"
"138";"Q92841"
"139";"Q92928"
"140";"Q93077"
"141";"Q93079"
"142";"Q95365"
"143";"Q96A08"
"144";"Q96KK5"
"145";"Q96QV6"
"146";"Q99832"
"147";"Q99877"
"148";"Q99878"
"149";"Q99879"
"150";"Q99880"
"151";"Q9BTM1"
"152";"Q9BX67"
"153";"Q9H0U4"
"154";"Q9NUU7"
"155";"Q9UBB4"
"156";"Q9UIG0"
"157";"Q9UII2"
"158";"Q9UMR2"
"159";"Q9UPQ0"
"160";"Q9UQ35"
"161";"Q9Y6D5"
"162";"Q9Y6D6"
