"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5827.1.id.csv";"peptide.count.P5827.2.id.csv";"spectra.count.P5827.1.id.csv";"spectra.count.P5827.2.id.csv";"dNSAF.P5827.1.id.csv";"dNSAF.P5827.2.id.csv";"Go.Cc";"norm.sc"
"325";325;"P61160";"P61160";"P61160";"ARP2_HUMAN";"Actin-related protein 2";"ACTR2";8;15;0,0022973731288231;8;7;8;7;0,00288545678688795;0,00254817135388606;"actin cap, cytosol, actin cytoskeleton, cell projection, extracellular vesicular exosome, Arp2/3 protein complex";0,0025693730729702
"326";326;"P61204";"P61204,P84077";"P61204,P84077";"ARF1_HUMAN, ARF3_HUMAN";"ADP-ribosylation factor 1, ADP-ribosylation factor 3";"ARF1, ARF3";1;1;0,000166697055756225;1;NA;1;NA;0,000392565598768595;NA;"Golgi membrane, perinuclear region of cytoplasm, extracellular vesicular exosome";0,000171291538198013
"328";328;"P61247";"P61247";"P61247";"RS3A_HUMAN";"40S ribosomal protein S3a";"RPS3A";8;21;0,00480011749188947;8;7;11;10;0,00592119778142631;0,00543278957484365;"ribonucleoprotein complex, nucleolus, nucleus, extracellular vesicular exosome, cytoplasm, cytosolic small ribosomal subunit, cytosol";0,00359712230215827
"329";329;"P61254";"P61254";"P61254";"RL26_HUMAN";"60S ribosomal protein L26";"RPL26";6;10;0,00416167821956919;6;4;6;4;0,00588036193465786;0,00395656951105855;"cytosolic large ribosomal subunit, cytosol, extracellular vesicular exosome";0,00171291538198013
"332";332;"P61353";"P61353";"P61353";"RL27_HUMAN";"60S ribosomal protein L27";"RPL27";6;13;0,00576820841462348;6;5;8;5;0,00835933804436656;0,00527300164617178;"ribonucleoprotein complex, extracellular vesicular exosome, cytosol, ribosome, cytosolic large ribosomal subunit";0,00222678999657417
"333";333;"P61513";"P61513";"P61513";"RL37A_HUMAN";"60S ribosomal protein L37a";"RPL37A";2;5;0,00327958337955181;1;2;2;3;0,00308932058161373;0,00467692319921323;"extracellular vesicular exosome, cytosolic large ribosomal subunit, cytosol";0,000856457690990065
"335";335;"P61978";"P61978-1,P61978-2,P61978-3";"P61978-1,P61978-2,P61978-3";"HNRPK_HUMAN";"Heterogeneous nuclear ribonucleoprotein K";"HNRNPK";12;27;0,00117300001653084;11;11;13;14;NA;NA;"nucleus, catalytic step 2 spliceosome, podosome, nuclear chromatin, nucleoplasm, cell projection, extracellular vesicular exosome, cell junction, cytoplasm";0,00462487153134635
"338";338;"P62195";"P62195";"P62195";"PRS8_HUMAN";"26S protease regulatory subunit 8";"PSMC5";3;3;0,000445894094953842;1;2;1;2;0,000350021543729634;0,000706530269831884;"nucleus, inclusion body, nucleoplasm, nuclear proteasome complex, proteasome accessory complex, cytoplasm, cytosol, cytosolic proteasome complex, blood microparticle, extracellular vesicular exosome, cytoplasmic vesicle, proteasome complex";0,000513874614594039
"339";339;"P62241";"P62241";"P62241";"RS8_HUMAN";"40S ribosomal protein S8";"RPS8";7;14;0,00406163787775263;6;7;7;7;0,00478250590038279;0,0048268245838034;"ribonucleoprotein complex, cytoplasm, cytosolic small ribosomal subunit, cytosol, extracellular vesicular exosome";0,00239808153477218
"340";340;"P62244";"P62244";"P62244";"RS15A_HUMAN";"40S ribosomal protein S15a";"RPS15A";4;7;0,0032493103022021;3;4;3;4;0,00327943261740534;0,00441309676233454;"cytosolic small ribosomal subunit, cytoplasm, extracellular vesicular exosome, cytosol";0,00119904076738609
"341";341;"P62249";"P62249";"P62249";"RS16_HUMAN";"40S ribosomal protein S16";"RPS16";9;27;0,0111595686504201;9;9;13;14;0,0126535185466097;0,0137531440196042;"extracellular vesicular exosome, small ribosomal subunit, cytosol, cytosolic small ribosomal subunit";0,00462487153134635
"342";342;"P62258";"P62258-1";"P62258-1";"1433E_HUMAN";"14-3-3 protein epsilon";"YWHAE";2;4;0,00114585732608985;2;2;2;2;NA;NA;"cytosol, kinesin complex, cytoplasmic vesicle membrane, melanosome, mitochondrion, extracellular vesicular exosome";0,000685166152792052
"343";343;"P62263";"P62263";"P62263";"RS14_HUMAN";"40S ribosomal protein S14";"RPS14";6;18;0,00719336433978516;6;5;10;8;0,00941117528173719;0,00759870965699987;"nucleolus, extracellular vesicular exosome, cytosolic small ribosomal subunit, cytosol, mitochondrion";0,00308324768756423
"345";345;"P62269";"P62269";"P62269";"RS18_HUMAN";"40S ribosomal protein S18";"RPS18";11;20;0,00794004397154649;8;11;9;11;0,00841433368939529;0,0103794874508855;"small ribosomal subunit, extracellular vesicular exosome, cytosolic small ribosomal subunit, ribosome, cytosol";0,00342583076396026
"346";346;"P62273";"P62273-1";"P62273-1";"RS29_HUMAN";"40S ribosomal protein S29";"RPS29";2;4;0,00431030958455381;2;2;2;2;NA;NA;"cytosol, small ribosomal subunit, extracellular vesicular exosome, cytoplasm, cytosolic small ribosomal subunit";0,000685166152792052
"347";347;"P62277";"P62277";"P62277";"RS13_HUMAN";"40S ribosomal protein S13";"RPS13";5;8;0,00319705081768229;3;4;4;4;0,00376447011269487;0,00379935482849993;"cytosol, extracellular vesicular exosome, cytosolic small ribosomal subunit, nucleus, ribosome, nucleolus";0,0013703323055841
"348";348;"P62280";"P62280";"P62280";"RS11_HUMAN";"40S ribosomal protein S11";"RPS11";6;11;0,00420118782291953;5;6;5;6;0,00449711223905796;0,00544654347250149;"cytosolic small ribosomal subunit, ribosome, cytosol, extracellular vesicular exosome";0,00188420692017814
"352";352;"P62316";"P62316";"P62316";"SMD2_HUMAN";"Small nuclear ribonucleoprotein Sm D2";"SNRPD2";6;14;0,00715949727603853;6;6;7;7;0,00843017989220017;0,00850830096128057;"small nuclear ribonucleoprotein complex, U1 snRNP, catalytic step 2 spliceosome, cytosol, SMN-Sm protein complex, spliceosomal complex, U12-type spliceosomal complex, U4 snRNP, pICln-Sm protein complex, extracellular vesicular exosome, nucleoplasm, methylosome";0,00239808153477218
"356";356;"P62701";"P62701";"P62701";"RS4X_HUMAN";"40S ribosomal protein S4, X isoform";"RPS4X";11;26;0,00596559957710109;9;10;13;13;0,00702438672169205;0,00708948054025225;"ribosome, extracellular vesicular exosome, cytosol, polysome, ribonucleoprotein complex, small ribosomal subunit, cytosolic small ribosomal subunit";0,00445357999314834
"357";357;"P62750";"P62750";"P62750";"RL23A_HUMAN";"60S ribosomal protein L23a";"RPL23A";5;10;0,0038682265502406;4;5;4;6;0,00364381401933927;0,00551637095291817;"cytosolic large ribosomal subunit, extracellular vesicular exosome, cytosol, nucleus";0,00171291538198013
"359";359;"P62805";"P62805";"P62805";"H4_HUMAN";"Histone H4";"HIST1H4J,HIST1H4D,HIST1H4K,HIST1H4C,HIST2H4A,HIST4H4,HIST1H4E,HIST1H4A,HIST1H4B,HIST1H4I,HIST2H4B,HIST1H4H,HIST1H4L,HIST1H4F";6;24;0,0140608157321367;6;5;13;11;0,0179360554155826;0,0153173018692679;"nucleosome, extracellular vesicular exosome, extracellular region, nucleoplasm, nucleus";0,00411099691675231
"360";360;"P62826";"P62826";"P62826";"RAN_HUMAN";"GTP-binding nuclear protein Ran";"RAN";2;7;0,00195560342262163;2;2;3;4;0,00197373259380877;0,00265603045881245;"cytoplasm, nucleoplasm, extracellular vesicular exosome, melanosome, nuclear pore, cytosol";0,00119904076738609
"361";361;"P62829";"P62829";"P62829";"RL23_HUMAN";"60S ribosomal protein L23";"RPL23";6;12;0,00517237150146457;5;5;5;7;0,0050753123840797;0,00717128223879362;"nucleolus, cytoplasm, ribosome, extracellular vesicular exosome, cytosol, cytosolic large ribosomal subunit";0,00205549845837616
"364";364;"P62851";"P62851";"P62851";"RS25_HUMAN";"40S ribosomal protein S25";"RPS25";3;7;0,00337928271429018;3;3;4;3;0,00454747989613541;0,00344221547462094;"extracellular vesicular exosome, small ribosomal subunit, cytosolic small ribosomal subunit, ribosome, cytosol, cytoplasm, nucleolus";0,00119904076738609
"365";365;"P62854";"P62854";"P62854";"RS26_HUMAN";"40S ribosomal protein S26";"RPS26";4;8;0,00419786672582632;4;4;4;4;0,00494291293058197;0,00498871807916078;"nucleolus, cytoplasm, cytosolic small ribosomal subunit, small ribosomal subunit, extracellular vesicular exosome, cytosol";0,0013703323055841
"366";366;"P62857";"P62857";"P62857";"RS28_HUMAN";"40S ribosomal protein S28";"RPS28";3;6;0,00524733340728289;3;3;3;3;0,00617864116322746;0,00623589759895098;"cytosolic small ribosomal subunit, extracellular vesicular exosome, small ribosomal subunit, cytoplasm, cytosol";0,00102774922918808
"367";367;"P62888";"P62888";"P62888";"RL30_HUMAN";"60S ribosomal protein L30";"RPL30";6;10;0,00524733340728289;5;5;5;5;0,00617864116322746;0,00623589759895098;"cytoplasm, cytosol, extracellular vesicular exosome, cytosolic large ribosomal subunit";0,00171291538198013
"368";368;"P62899";"P62899-1,P62899-2,P62899-3";"P62899-1,P62899-2,P62899-3";"RL31_HUMAN";"60S ribosomal protein L31";"RPL31";2;3;0,000482754673470026;1;2;1;2;NA;NA;"cytosolic large ribosomal subunit, cytosol, extracellular vesicular exosome";0,000513874614594039
"369";369;"P62906";"P62906";"P62906";"RL10A_HUMAN";"60S ribosomal protein L10a";"RPL10A";8;14;0,00389318285056473;4;8;5;9;0,00327439508650303;0,00594852904600393;"nucleolus, cytosolic large ribosomal subunit, cytosol, cytoplasm, extracellular vesicular exosome";0,00239808153477218
"371";371;"P62913";"P62913-1,P62913-2";"P62913-1,P62913-2";"RL11_HUMAN";"60S ribosomal protein L11";"RPL11";4;11;0,0018645721236553;4;4;4;7;NA;NA;"extracellular vesicular exosome, cytosol, cytosolic large ribosomal subunit, nucleolus";0,00188420692017814
"373";373;"P62937";"P62937";"P62937";"PPIA_HUMAN";"Peptidyl-prolyl cis-trans isomerase A";"PPIA";5;9;0,00329150913729563;5;4;5;4;0,00430632565921914;0,00347698532789994;"extracellular vesicular exosome, cytosol, extracellular region, nucleus";0,00154162384378212
"374";374;"P62979";"P62979";"P62979";"RS27A_HUMAN";"Ubiquitin-40S ribosomal protein S27a";"RPS27A";1;2;0,00139256155808661;1;1;1;1;0,00182190700966963;0,00153232526469949;"endocytic vesicle membrane, small ribosomal subunit, extracellular vesicular exosome, nucleoplasm, plasma membrane, endosome membrane, cytosolic small ribosomal subunit, cytosol";0,000342583076396026
"375";375;"P62987";"P62987";"P62987";"RL40_HUMAN";"Ubiquitin-60S ribosomal protein L40";"UBA52";1;3;0,00254577659837709;1;1;1;2;0,00222044916803487;0,00373504283270501;"endocytic vesicle membrane, cytosolic large ribosomal subunit, endosome membrane, nucleoplasm, ribosome, plasma membrane, lysosomal membrane, cytosol";0,000513874614594039
"376";376;"P63010";"P63010-1,P63010-2";"P63010-1,P63010-2";"AP2B1_HUMAN";"AP-2 complex subunit beta";"AP2B1";2;2;6,4401637335916e-05;2;NA;2;NA;NA;NA;"cytosol, trans-Golgi network, intracellular membrane-bounded organelle, coated pit, clathrin-coated endocytic vesicle membrane, endocytic vesicle membrane, plasma membrane, clathrin adaptor complex";0,000342583076396026
"377";377;"P63104";"P63104";"P63104";"1433Z_HUMAN";"14-3-3 protein zeta/delta";"YWHAZ";4;8;0,00271365856551357;4;4;4;4;0,00317086183233932;0,00325228219446423;"melanosome, mast cell granule, nucleoplasm, protein complex, extracellular vesicular exosome, cytoplasmic vesicle membrane, mitochondrion, blood microparticle, postsynaptic density, cytosol, cell leading edge, perinuclear region of cytoplasm, cytoplasm, extracellular space";0,0013703323055841
"378";378;"P63167";"P63167";"P63167";"DYL1_HUMAN";"Dynein light chain 1, cytoplasmic";"DYNLL1";2;4;0,00271210490713498;2;1;3;1;0,00479018247486174;0,00161152409860531;"plasma membrane, mitotic spindle, microtubule, cytosol, kinetochore, mitochondrion, centrosome, cytoplasm, nucleus, cytoplasmic dynein complex";0,000685166152792052
"381";381;"P63244";"P63244";"P63244";"GBLP_HUMAN";"Guanine nucleotide-binding protein subunit beta-2-like 1";"GNB2L1";9;22;0,00418793486448761;7;9;10;12;0,00448292576511771;0,00542936194735164;"cytoskeleton, mitochondrion, perikaryon, neuronal cell body, cytoplasm, midbody, dendrite, nucleus, extracellular vesicular exosome, small ribosomal subunit, perinuclear region of cytoplasm, cytosol, phagocytic cup";0,00376841384035629
"382";382;"P67809";"P67809";"P67809";"YBOX1_HUMAN";"Nuclease-sensitive element-binding protein 1";"YBX1";6;12;0,00283096876417608;5;6;6;6;0,00328955432301462;0,00341489630418744;"nucleoplasm, cytoplasm, histone pre-mRNA 3'end processing complex, nuclear membrane, nucleus, ribonucleoprotein complex, extracellular vesicular exosome, cytoplasmic stress granule, CRD-mediated mRNA stability complex, intracellular membrane-bounded organelle, U12-type spliceosomal complex";0,00205549845837616
"384";384;"P68032";"P68032,P68133";"P68032,P68133";"ACTC_HUMAN, ACTS_HUMAN";"Actin, alpha cardiac muscle 1, Actin, alpha skeletal muscle";"ACTA1, ACTC1";1;6;0,00136602454109948;1;1;3;3;0,00159345472005589;0,00164064480927308;"actomyosin, actin portion, sarcomere, cytosol, blood microparticle, extracellular vesicular exosome, extracellular space, cytoplasm, I band, actin filament";0,00102774922918808
"385";385;"P68104";"P68104,Q5VTE0";"P68104,Q5VTE0";"EF1A1_HUMAN, EF1A3_HUMAN";"Elongation factor 1-alpha 1, Putative elongation factor 1-alpha-like 3";"EEF1A1, EEF1A1P5";10;44;0,00287353972303587;10;9;23;21;0,00353733893435858;0,00325967374490619;"cytoplasm, nucleolus, cytosol, extracellular vesicular exosome, eukaryotic translation elongation factor 1 complex, plasma membrane, extracellular space, nucleus";0,00753682768071257
"387";387;"P68366";"P68366";"P68366";"TBA4A_HUMAN";"Tubulin alpha-4A chain";"TUBA4A";2;4;0,00332253030476023;2;2;2;2;0,00374304288325878;0,00416190487072844;"extracellular region, microtubule, cytosol, extracellular vesicular exosome";0,000685166152792052
"388";388;"P68371";"P68371";"P68371";"TBB4B_HUMAN";"Tubulin beta-4B chain";"TUBB4B";1;2;0,00191339718686443;1;1;1;1;0,00251041044515902;0,00213111853524654;"microtubule, cytoskeleton, cytosol, extracellular vesicular exosome";0,000342583076396026
"389";389;"P68431";"P68431,P84243,Q16695,Q71DI3";"P68431,P84243,Q16695,Q71DI3";"H31_HUMAN, H31T_HUMAN, H32_HUMAN, H33_HUMAN";"Histone H3.1, Histone H3.1t, Histone H3.2, Histone H3.3";"H3F3A,H3F3B, HIST1H3C,HIST1H3G,HIST1H3I,HIST1H3F,HIST1H3H,HIST1H3D,HIST1H3E,HIST1H3J,HIST1H3B,HIST1H3A, HIST2H3A,HIST2H3C,HIST2H3D, HIST3H3";5;10;0,00110927084896605;5;4;5;5;0,00130614656943227;0,00131825041154295;"extracellular vesicular exosome, nucleoplasm, nucleosome, extracellular region";0,00171291538198013
"391";391;"P78371";"P78371-1,P78371-2";"P78371-1,P78371-2";"TCPB_HUMAN";"T-complex protein 1 subunit beta";"CCT2";10;20;0,00112793148007016;9;9;9;11;NA;NA;"cytosol, cell body, microtubule, zona pellucida receptor complex, chaperonin-containing T-complex, extracellular vesicular exosome";0,00342583076396026
"392";392;"P78385";"P78385";"P78385";"KRT83_HUMAN";"Keratin, type II cuticular Hb3";"KRT83";1;1;0,000394382697913446;1;0;1;0;0,000902881560091737;0;"extracellular space, keratin filament";0,000171291538198013
"393";393;"P78386";"P78386";"P78386";"KRT85_HUMAN";"Keratin, type II cuticular Hb5";"KRT85";3;7;0,00243948949593551;3;3;3;4;0,0023887635023543;0,00340620849093321;"extracellular space, keratin filament";0,00119904076738609
"396";396;"P83731";"P83731";"P83731";"RL24_HUMAN";"60S ribosomal protein L24";"RPL24";2;4;0,00153743526582811;2;2;2;2;0,00181030250642333;0,00182707827739965;"cytosol, cytosolic large ribosomal subunit, extracellular vesicular exosome";0,000685166152792052
"401";401;"Q00325";"Q00325-1,Q00325-2";"Q00325-1,Q00325-2";"MPCP_HUMAN";"Phosphate carrier protein, mitochondrial";"SLC25A3";2;4;0,000333394111512449;2;2;2;2;NA;NA;"integral component of plasma membrane, mitochondrion, mitochondrial inner membrane, extracellular vesicular exosome";0,000685166152792052
"402";402;"Q00341";"Q00341";"Q00341";"VIGLN_HUMAN";"Vigilin";"HDLBP";1;1;4,75901689146319e-05;NA;1;NA;1;NA;0,000113111707236492;"plasma membrane, high-density lipoprotein particle, cytoplasm, nucleus";0,000171291538198013
"403";403;"Q00610";"Q00610-1,Q00610-2";"Q00610-1,Q00610-2";"CLH1_HUMAN";"Clathrin heavy chain 1";"CLTC";26;55;0,000990727874658636;24;23;28;27;NA;NA;"cytosol, clathrin coat of coated pit, melanosome, extracellular vesicular exosome, protein complex, clathrin complex, clathrin-coated vesicle, clathrin coat of trans-Golgi network vesicle, plasma membrane, clathrin coat, clathrin-coated endocytic vesicle membrane, spindle, mitochondrion, trans-Golgi network membrane";0,00942103460089072
"405";405;"Q00839";"Q00839-2";"Q00839-2";"HNRPU_HUMAN";"Heterogeneous nuclear ribonucleoprotein U";"HNRNPU";1;1;0,000487630983303057;1;0;1;0;NA;NA;"ribonucleoprotein complex, catalytic step 2 spliceosome, nucleoplasm, CRD-mediated mRNA stability complex, cell surface";0,000171291538198013
"406";406;"Q00839";"Q00839-1";"Q00839-1";"HNRPU_HUMAN";"Heterogeneous nuclear ribonucleoprotein U";"HNRNPU";2;5;0,00243815491651528;2;2;3;2;NA;NA;"ribonucleoprotein complex, catalytic step 2 spliceosome, nucleoplasm, CRD-mediated mRNA stability complex, cell surface";0,000856457690990065
"408";408;"Q01082";"Q01082-1,Q01082-2,Q01082-3";"Q01082-1,Q01082-2,Q01082-3";"SPTB2_HUMAN";"Spectrin beta chain, non-erythrocytic 1";"SPTBN1";6;8;6,80703149280917e-05;3;5;3;5;NA;NA;"M band, extracellular vesicular exosome, protein complex, axolemma, nucleolus, cuticular plate, cytoplasm, spectrin-associated cytoskeleton, cytosol, spectrin";0,0013703323055841
"411";411;"Q01518";"Q01518-1,Q01518-2";"Q01518-1,Q01518-2";"CAP1_HUMAN";"Adenylyl cyclase-associated protein 1";"CAP1";2;3;0,000190561055317116;1;2;1;2;NA;NA;"extracellular vesicular exosome, cortical actin cytoskeleton, plasma membrane";0,000513874614594039
"413";413;"Q01650";"Q01650";"Q01650";"LAT1_HUMAN";"Large neutral amino acids transporter small subunit 1";"SLC7A5";1;2;0,000238044710784037;1;1;1;1;0,000280293386103021;0,000282890818098368;"nucleolus, plasma membrane, nucleus, integral component of membrane, extracellular vesicular exosome, cytosol, apical plasma membrane";0,000342583076396026
"414";414;"Q01813";"Q01813";"Q01813";"K6PP_HUMAN";"6-phosphofructokinase type C";"PFKP";7;17;0,00154639353601687;7;5;8;9;0,00171374184397496;0,00194582565384706;"extracellular vesicular exosome, 6-phosphofructokinase complex, cytosol";0,00291195614936622
"415";415;"Q01844";"Q01844-1,Q01844-3,Q01844-5";"Q01844-1,Q01844-3,Q01844-5";"EWS_HUMAN";"RNA-binding protein EWS";"EWSR1";5;9;0,000275964942913506;3;5;3;6;NA;NA;"nucleus, plasma membrane, cytoplasm";0,00154162384378212
"420";420;"Q06323";"Q06323";"Q06323";"PSME1_HUMAN";"Proteasome activator complex subunit 1";"PSME1";7;11;0,00266581395992484;4;7;4;7;0,00228287143380292;0,00403204623867915;"cytosol, extracellular vesicular exosome, nucleoplasm, proteasome activator complex, cytoplasm, proteasome complex";0,00188420692017814
"421";421;"Q06830";"Q06830";"Q06830";"PRDX1_HUMAN";"Peroxiredoxin-1";"PRDX1";11;29;0,00926924378131536;11;9;15;14;0,0112754890310155;0,0106508156087052;"cytoplasm, cytosol, extracellular vesicular exosome, nucleolus, mitochondrial matrix, nucleus, peroxisomal matrix, melanosome, extracellular space, nuclear euchromatin";0,00496745460774238
"423";423;"Q07021";"Q07021";"Q07021";"C1QBP_HUMAN";"Complement component 1 Q subcomponent-binding protein, mitochondrial";"C1QBP";1;2;0,000427974001303215;1;1;1;1;0,000503931726078835;0,000508601577219406;"mitochondrial matrix, extracellular space, cytosol, membrane, nucleolus, cytoplasm, mitochondrion, plasma membrane, nucleus, cell surface";0,000342583076396026
"429";429;"Q09666";"Q09666-1";"Q09666-1";"AHNK_HUMAN";"Neuroblast differentiation-associated protein AHNAK";"AHNAK";4;5;5,12260901390096e-05;4;NA;5;NA;NA;NA;"cell-cell contact zone, cytosol, costamere, extracellular vesicular exosome, cytoplasm, nucleus, lysosomal membrane, actin cytoskeleton, plasma membrane, vesicle, T-tubule, sarcolemma";0,000856457690990065
"433";433;"Q13011";"Q13011";"Q13011";"ECH1_HUMAN";"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial";"ECH1";2;4;0,000735906514436016;2;2;2;2;0,000866516748501412;0,000874546614487027;"mitochondrion, peroxisome, extracellular vesicular exosome";0,000685166152792052
"439";439;"Q13200";"Q13200";"Q13200";"PSMD2_HUMAN";"26S proteasome non-ATPase regulatory subunit 2";"PSMD2";8;13;0,000863960731705719;7;4;8;5;0,00125205944276856;0,000789788792818681;"cytosol, proteasome regulatory particle, extracellular vesicular exosome, proteasome complex, nucleoplasm, proteasome accessory complex";0,00222678999657417
"443";443;"Q13283";"Q13283";"Q13283";"G3BP1_HUMAN";"Ras GTPase-activating protein-binding protein 1";"G3BP1";6;12;0,00155393135237133;6;6;6;6;0,00182972635305877;0,00184668212157776;"cytoplasmic stress granule, plasma membrane, nucleus, cytoplasm, cytosol";0,00205549845837616
"444";444;"Q13303";"Q13303-1,Q13303-2";"Q13303-1,Q13303-2";"KCAB2_HUMAN";"Voltage-gated potassium channel subunit beta-2";"KCNAB2";5;8;0,0006577039148093;4;4;4;4;NA;NA;"plasma membrane, cytoplasm, juxtaparanode region of axon, integral component of membrane";0,0013703323055841
"445";445;"Q13347";"Q13347";"Q13347";"EIF3I_HUMAN";"Eukaryotic translation initiation factor 3 subunit I";"EIF3I";6;11;0,00204242361852703;5;6;5;6;0,00218628841160356;0,00264785805740072;"cytosol, eukaryotic 43S preinitiation complex, eukaryotic 48S preinitiation complex, eukaryotic translation initiation factor 3 complex, extracellular vesicular exosome";0,00188420692017814
"451";451;"Q13576";"Q13576-1";"Q13576-1";"IQGA2_HUMAN";"Ras GTPase-activating-like protein IQGAP2";"IQGAP2";2;2;7,66277259476232e-05;NA;2;NA;2;NA;NA;"extracellular vesicular exosome, actin cytoskeleton, microvillus, microtubule";0,000342583076396026
"452";452;"Q13765";"Q13765";"Q13765";"NACA_HUMAN";"Nascent polypeptide-associated complex subunit alpha";"NACA";1;2;0,000561342643569798;1;1;1;1;0,00066097091513596;0,00066709602221336;"nascent polypeptide-associated complex, nucleus, cytoplasm, extracellular vesicular exosome";0,000342583076396026
"453";453;"Q13813";"Q13813-1,Q13813-2,Q13813-3";"Q13813-1,Q13813-2,Q13813-3";"SPTN1_HUMAN";"Spectrin alpha chain, non-erythrocytic 1";"SPTAN1";2;3;2,44111384238484e-05;NA;2;NA;3;NA;NA;"extracellular vesicular exosome, intracellular membrane-bounded organelle, microtubule cytoskeleton, cuticular plate, lateral plasma membrane, Z disc, membrane, fascia adherens, spectrin, cytosol";0,000513874614594039
"456";456;"Q14204";"Q14204";"Q14204";"DYHC1_HUMAN";"Cytoplasmic dynein 1 heavy chain 1";"DYNC1H1";3;4;5,19537961117118e-05;2;2;2;2;6,11746649824501e-05;6,17415603856532e-05;"cytoplasmic dynein complex, extracellular vesicular exosome, microtubule, centrosome, cytosol";0,000685166152792052
"458";458;"Q14444";"Q14444-1,Q14444-2";"Q14444-1,Q14444-2";"CAPR1_HUMAN";"Caprin-1";"CAPRIN1";3;6;0,000255335687660451;3;3;3;3;NA;NA;"cytoplasm, cytoplasmic mRNA processing body, integral component of plasma membrane, cytosol, cytoplasmic stress granule, dendrite";0,00102774922918808
"460";460;"Q14525";"Q14525";"Q14525";"KT33B_HUMAN";"Keratin, type I cuticular Ha3-II";"KRT33B";2;4;0,00320077393543455;2;2;2;2;0,00368977382239243;0,00387819039174074;"extracellular space, intermediate filament";0,000685166152792052
"463";463;"Q14722";"Q14722-3";"Q14722-3";"KCAB1_HUMAN";"Voltage-gated potassium channel subunit beta-1";"KCNAB1";2;2;0,000288039781306698;2;NA;2;NA;NA;NA;"integral component of membrane, cytoplasm, plasma membrane";0,000342583076396026
"464";464;"Q14974";"Q14974";"Q14974";"IMB1_HUMAN";"Importin subunit beta-1";"KPNB1";4;11;0,000757748488608774;3;4;5;6;0,000811122983757029;0,000982367429971729;"endoplasmic reticulum tubular network, nuclear envelope, nucleus, cytosol, nuclear membrane, extracellular vesicular exosome, cytoplasm, nucleoplasm, nuclear pore";0,00188420692017814
"466";466;"Q15019";"Q15019-1,Q15019-2";"Q15019-1,Q15019-2";"SEPT2_HUMAN";"Septin-2";"SEPT2";1;1;8,35794102268051e-05;1;NA;1;NA;NA;NA;"condensed chromosome kinetochore, midbody, septin complex, synapse, nucleolus, extracellular vesicular exosome, cell surface, cytoplasm, actin cytoskeleton, ciliary membrane, perinuclear region of cytoplasm, exocyst, nucleus, spindle, cleavage furrow";0,000171291538198013
"468";468;"Q15046";"Q15046-1,Q15046-2";"Q15046-1,Q15046-2";"SYK_HUMAN";"Lysine--tRNA ligase";"KARS";6;13;0,000657015363809709;6;6;7;6;NA;NA;"cytosol, extracellular region, aminoacyl-tRNA synthetase multienzyme complex, mitochondrial matrix, cytoplasm, plasma membrane, mitochondrion, microtubule cytoskeleton, nucleus";0,00222678999657417
"470";470;"Q15125";"Q15125";"Q15125";"EBP_HUMAN";"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase";"EBP";2;3;0,000787100011092434;1;2;1;2;0,000617864116322746;0,0012471795197902;"integral component of plasma membrane, endoplasmic reticulum, endoplasmic reticulum membrane";0,000513874614594039
"472";472;"Q15323";"Q15323";"Q15323";"K1H1_HUMAN";"Keratin, type I cuticular Ha1";"KRT31";2;4;0,00325722186230627;2;2;2;2;0,00368094020028649;0,00402489940347395;"intermediate filament, extracellular space";0,000685166152792052
"474";474;"Q15365";"Q15365";"Q15365";"PCBP1_HUMAN";"Poly(rC)-binding protein 1";"PCBP1";6;11;0,0018645721236553;5;5;6;5;0,00239509123743087;0,00201440512325664;"ribonucleoprotein complex, extracellular vesicular exosome, cytoplasm, nucleoplasm";0,00188420692017814
"483";483;"Q15758";"Q15758-1";"Q15758-1";"AAAT_HUMAN";"Neutral amino acid transporter B(0)";"SLC1A5";1;2;0,000223084414727369;1;1;1;1;NA;NA;"Golgi apparatus, integral component of plasma membrane, extracellular vesicular exosome, membrane, plasma membrane, melanosome";0,000342583076396026
"484";484;"Q16186";"Q16186";"Q16186";"ADRM1_HUMAN";"Proteasomal ubiquitin receptor ADRM1";"ADRM1";2;2;0,000296532354711318;2;NA;2;NA;0,000698323079873373;NA;"cytoplasm, membrane, nucleus, integral component of plasma membrane, proteasome complex, plasma membrane";0,000342583076396026
"485";485;"Q16555";"Q16555";"Q16555";"DPYL2_HUMAN";"Dihydropyrimidinase-related protein 2";"DPYSL2";2;2;0,000210994175467669;2;NA;2;NA;0,0004968837299099;NA;"protein complex, axon, cytoskeleton, dendrite, cytosol, neuronal cell body, extracellular vesicular exosome, mitochondrion, growth cone, membrane";0,000342583076396026
"492";492;"Q32MZ4";"Q32MZ4-1,Q32MZ4-2,Q32MZ4-3";"Q32MZ4-1,Q32MZ4-2,Q32MZ4-3";"LRRF1_HUMAN";"Leucine-rich repeat flightless-interacting protein 1";"LRRFIP1";3;4;9,95781092141143e-05;2;2;2;2;NA;NA;"nucleus, cytoskeleton, cytosol, plasma membrane, cytoplasm";0,000685166152792052
