"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5827.1.id.csv";"peptide.count.P5827.2.id.csv";"spectra.count.P5827.1.id.csv";"spectra.count.P5827.2.id.csv";"dNSAF.P5827.1.id.csv";"dNSAF.P5827.2.id.csv";"Go.Cc";"norm.sc"
"221";221;"P32119";"P32119-1";"P32119-1";"PRDX2_HUMAN";"Peroxiredoxin-2";"PRDX2";4;8;0,00256994707416476;4;4;4;4;NA;NA;"cytoplasm, extracellular vesicular exosome, cytosol";0,0013703323055841
"227";227;"P34896";"P34896-1,P34896-2";"P34896-1,P34896-2";"GLYC_HUMAN";"Serine hydroxymethyltransferase, cytosolic";"SHMT1";5;11;0,000687150803334665;5;5;6;5;NA;NA;"nucleus, extracellular vesicular exosome, mitochondrion, cytosol, cytoplasm";0,00188420692017814
"228";228;"P35232";"P35232";"P35232";"PHB_HUMAN";"Prohibitin";"PHB";2;4;0,000887416679172843;2;2;2;2;0,00104491725554582;0,00105460032923436;"mitochondrion, integral component of plasma membrane, nucleoplasm, extracellular vesicular exosome, nucleus, cytoplasm, mitochondrial inner membrane";0,000685166152792052
"229";229;"P35268";"P35268";"P35268";"RL22_HUMAN";"60S ribosomal protein L22";"RPL22";2;6;0,00282864066486344;2;2;3;3;0,0033306737520523;0,00336153854943451;"cytoplasm, extracellular vesicular exosome, ribonucleoprotein complex, cytosolic large ribosomal subunit, cytosol";0,00102774922918808
"230";230;"P35527";"P35527";"P35527";"K1C9_HUMAN";"Keratin, type I cytoskeletal 9";"KRT9";19;61;0,00590851426197263;19;18;29;32;0,00661501389385668;0,00736696730790998;"intermediate filament, extracellular vesicular exosome, extracellular space";0,0104487838300788
"231";231;"P35579";"P35579-1";"P35579-1";"MYH9_HUMAN";"Myosin-9";"MYH9";27;46;0,00141624457778197;21;25;21;25;NA;NA;"spindle, cleavage furrow, immunological synapse, cell-cell adherens junction, cell leading edge, nucleus, uropod, stress fiber, ruffle, actin cytoskeleton, myosin II filament, extracellular vesicular exosome, myosin II complex, plasma membrane, actomyosin contractile ring, cytosol, cortical cytoskeleton, actomyosin, neuromuscular junction, cytoplasm, protein complex";0,0078794107571086
"234";234;"P35908";"P35908";"P35908";"K22E_HUMAN";"Keratin, type II cytoskeletal 2 epidermal";"KRT2";18;44;0,005328788788053;18;15;24;20;0,00674349535544943;0,0058538615738961;"intermediate filament cytoskeleton, cytoplasm, extracellular space, intermediate filament, extracellular vesicular exosome, Golgi apparatus, keratin filament";0,00753682768071257
"237";237;"P36578";"P36578";"P36578";"RL4_HUMAN";"60S ribosomal protein L4";"RPL4";10;21;0,00296775414018459;9;10;10;11;0,00332807369447849;0,00369480583731756;"extracellular vesicular exosome, cytosol, nucleus, ribonucleoprotein complex, nucleolus, cytoplasm, cytosolic large ribosomal subunit";0,00359712230215827
"241";241;"P37802";"P37802";"P37802";"TAGL2_HUMAN";"Transgelin-2";"TAGLN2";6;9;0,00272914074197879;5;4;5;4;0,00357057152648823;0,00288292753318337;"extracellular vesicular exosome";0,00154162384378212
"242";242;"P38159";"P38159-1";"P38159-1";"RBMX_HUMAN";"RNA-binding motif protein, X chromosome";"RBMX";6;11;0,00169766669059152;6;5;6;5;NA;NA;"extracellular vesicular exosome, nuclear euchromatin, extracellular space, ribonucleoprotein complex, supraspliceosomal complex, nucleoplasm, catalytic step 2 spliceosome, nucleus";0,00188420692017814
"243";243;"P38646";"P38646";"P38646";"GRP75_HUMAN";"Stress-70 protein, mitochondrial";"HSPA9";10;19;0,00168857488879427;9;10;9;10;0,00188362109099865;0,00211230699228089;"mitochondrial nucleoid, extracellular vesicular exosome, mitochondrion, cytoplasm, nucleolus";0,00325453922576225
"245";245;"P39019";"P39019";"P39019";"RS19_HUMAN";"40S ribosomal protein S19";"RPS19";8;15;0,00624251732935379;8;7;8;7;0,00784048257954381;0,00692399664435246;"cytosol, cytoplasm, extracellular vesicular exosome, ribosome, nucleolus, cytosolic small ribosomal subunit";0,0025693730729702
"246";246;"P39023";"P39023";"P39023";"RL3_HUMAN";"60S ribosomal protein L3";"RPL3";13;31;0,00464187186028871;13;12;15;16;0,00528940744742797;0,00569431840301231;"cytosolic large ribosomal subunit, cytosol, nucleolus, cytoplasm, extracellular vesicular exosome, nucleus";0,0053100376841384
"250";250;"P40227";"P40227";"P40227";"TCPZ_HUMAN";"T-complex protein 1 subunit zeta";"CCT6A";11;24;0,00272742753372896;10;10;11;13;0,002943872343308;0,00351136230148087;"extracellular vesicular exosome, cytoplasm, acrosomal vesicle, cell body, microtubule, chaperonin-containing T-complex, cytosol, zona pellucida receptor complex";0,00411099691675231
"252";252;"P40926";"P40926";"P40926";"MDHM_HUMAN";"Malate dehydrogenase, mitochondrial";"MDH2";13;35;0,00624867365808096;12;13;16;19;0,0067270412664725;0,00806238831580348;"mitochondrial inner membrane, mitochondrion, mitochondrial matrix, nucleus, extracellular vesicular exosome, plasma membrane";0,00599520383693046
"253";253;"P41091";"P41091";"P41091";"IF2G_HUMAN";"Eukaryotic translation initiation factor 2 subunit 3";"EIF2S3";3;3;0,000383544496930635;3;NA;3;NA;0,00090323355987859;NA;"cytosol, extracellular vesicular exosome";0,000513874614594039
"254";254;"P41252";"P41252";"P41252";"SYIC_HUMAN";"Isoleucine--tRNA ligase, cytoplasmic";"IARS";11;23;0,00109977788132038;10;11;10;13;0,00112605979995429;0,00147744325046461;"cytosol, cytoplasm, extracellular vesicular exosome";0,0039397053785543
"264";264;"P46777";"P46777";"P46777";"RL5_HUMAN";"60S ribosomal protein L5";"RPL5";11;24;0,00487630983303057;10;9;13;11;0,00622024817442764;0,00531206091762491;"nucleolus, ribonucleoprotein complex, cytoplasm, extracellular vesicular exosome, cytosolic large ribosomal subunit, cytosol, nucleus";0,00411099691675231
"266";266;"P46779";"P46779-1";"P46779-1";"RL28_HUMAN";"60S ribosomal protein L28";"RPL28";4;7;0,00308328714807499;4;3;4;3;NA;NA;"cytosolic large ribosomal subunit, extracellular vesicular exosome, cytosol, cytoplasm";0,00119904076738609
"267";267;"P46781";"P46781";"P46781";"RS9_HUMAN";"40S ribosomal protein S9";"RPS9";6;12;0,00373263922786103;6;6;6;6;0,00439511587899685;0,00443584468378987;"cytoplasm, cytosolic small ribosomal subunit, extracellular vesicular exosome, cytosol, nucleolus, ribosome, ribonucleoprotein complex";0,00205549845837616
"268";268;"P46782";"P46782";"P46782";"RS5_HUMAN";"40S ribosomal protein S5";"RPS5";7;14;0,00414127783613993;6;7;7;7;0,00487628052588049;0,00492146820309366;"ribonucleoprotein complex, cytosolic small ribosomal subunit, cytosol, extracellular vesicular exosome";0,00239808153477218
"270";270;"P46940";"P46940";"P46940";"IQGA1_HUMAN";"Ras GTPase-activating-like protein IQGAP1";"IQGAP1";5;9;0,000327760414999264;5;4;5;4;0,000428813357737572;0,000346229679603796;"microtubule, extrinsic component of cytoplasmic side of plasma membrane, plasma membrane, cell junction, midbody, slit diaphragm, extracellular vesicular exosome, nucleus, neuron projection, ribonucleoprotein complex, actin filament, cytoplasm, cell leading edge, lateral plasma membrane";0,00154162384378212
"273";273;"P48047";"P48047";"P48047";"ATPO_HUMAN";"ATP synthase subunit O, mitochondrial";"ATP5O";3;4;0,00113322693302823;2;2;2;2;0,0013343544296172;0,00134671966925702;"mitochondrial inner membrane, mitochondrial proton-transporting ATP synthase complex, plasma membrane, mitochondrion";0,000685166152792052
"276";276;"P48643";"P48643";"P48643";"TCPE_HUMAN";"T-complex protein 1 subunit epsilon";"CCT5";6;9;0,00117119317731869;5;4;5;4;0,00150101660157625;0,00125928246337411;"centrosome, microtubule, cell body, chaperonin-containing T-complex, extracellular vesicular exosome, cytoplasm, cytosol, nucleolus, zona pellucida receptor complex";0,00154162384378212
"278";278;"P49327";"P49327";"P49327";"FAS_HUMAN";"Fatty acid synthase";"FASN";4;7;0,000168223950333044;3;4;3;4;0,000169783448929787;0,000228475738392469;"cytoplasm, plasma membrane, extracellular vesicular exosome, melanosome, glycogen granule, cytosol, mitochondrion, Golgi apparatus";0,00119904076738609
"279";279;"P49368";"P49368-1";"P49368-1";"TCPG_HUMAN";"T-complex protein 1 subunit gamma";"CCT3";12;24;0,00265736517506437;11;12;11;13;NA;NA;"cytoplasm, cell body, cytoskeleton, plasma membrane, extracellular vesicular exosome, chaperonin-containing T-complex, microtubule, cytosol, zona pellucida receptor complex";0,00411099691675231
"280";280;"P49411";"P49411";"P49411";"EFTU_HUMAN";"Elongation factor Tu, mitochondrial";"TUFM";10;16;0,00213608262597357;7;8;7;9;0,00220079917539739;0,00285582036058153;"mitochondrion, extracellular vesicular exosome, mitochondrial nucleoid";0,00274066461116821
"281";281;"P49721";"P49721";"P49721";"PSB2_HUMAN";"Proteasome subunit beta type-2";"PSMB2";1;2;0,000600441136156749;1;1;1;1;0,00070700869031956;0,00071356042177051;"proteasome complex, cytosol, proteasome core complex, extracellular vesicular exosome, nucleus, nucleoplasm";0,000342583076396026
"285";285;"P49755";"P49755";"P49755";"TMEDA_HUMAN";"Transmembrane emp24 domain-containing protein 10";"TMED10";1;2;0,00055108980989729;1;1;1;1;0,000648898387005623;0,000654911619981153;"melanosome, secretory granule membrane, endoplasmic reticulum, endoplasmic reticulum-Golgi intermediate compartment membrane, trans-Golgi network transport vesicle, endoplasmic reticulum-Golgi intermediate compartment, plasma membrane, COPI-coated vesicle, gamma-secretase complex, transport vesicle membrane, cis-Golgi network, endoplasmic reticulum membrane, Golgi membrane, integral component of membrane, Golgi apparatus, zymogen granule membrane";0,000342583076396026
"287";287;"P50552";"P50552";"P50552";"VASP_HUMAN";"Vasodilator-stimulated phosphoprotein";"VASP";9;18;0,00285841582975674;6;7;7;11;0,00261779270336742;0,0041517949803542;"filopodium membrane, extracellular vesicular exosome, plasma membrane, tight junction, cytoplasm, focal adhesion, actin cytoskeleton, lamellipodium membrane, cytosol";0,00308324768756423
"288";288;"P50914";"P50914";"P50914";"RL14_HUMAN";"60S ribosomal protein L14";"RPL14";4;8;0,00224537057427919;4;4;4;4;0,00264388366054384;0,00266838408885344;"cytosol, extracellular vesicular exosome, cytoplasm, cytosolic large ribosomal subunit";0,0013703323055841
"289";289;"P50990";"P50990";"P50990";"TCPQ_HUMAN";"T-complex protein 1 subunit theta";"CCT8";14;28;0,00308328714807499;14;12;15;13;0,00388983795860123;0,00340243317898968;"cell body, cytosol, centrosome, zona pellucida receptor complex, cytoplasm, aggresome, microtubule, extracellular vesicular exosome, intermediate filament cytoskeleton, chaperonin-containing T-complex";0,00479616306954436
"290";290;"P50991";"P50991";"P50991";"TCPD_HUMAN";"T-complex protein 1 subunit delta";"CCT4";11;21;0,0027429242810797;8;10;9;12;0,00271185522563071;0,00379186537672761;"extracellular vesicular exosome, centrosome, microtubule, cytoplasm, cell body, zona pellucida receptor complex, nucleus, chaperonin-containing T-complex, cytosol, melanosome";0,00359712230215827
"291";291;"P51571";"P51571";"P51571";"SSRD_HUMAN";"Translocon-associated protein subunit delta";"SSR4";1;1;0,000348811180252909;1;NA;1;NA;0,000821437842510009;NA;"integral component of membrane, extracellular vesicular exosome, Sec61 translocon complex";0,000171291538198013
"292";292;"P51572";"P51572-1,P51572-2";"P51572-1,P51572-2";"BAP31_HUMAN";"B-cell receptor-associated protein 31";"BCAP31";2;4;0,000490604342957344;2;2;2;2;NA;NA;"Golgi membrane, endoplasmic reticulum, integral component of plasma membrane, cytosol, endoplasmic reticulum membrane, lipid particle, endoplasmic reticulum-Golgi intermediate compartment membrane, integral component of lumenal side of endoplasmic reticulum membrane";0,000685166152792052
"295";295;"P51665";"P51665";"P51665";"PSD7_HUMAN";"26S proteasome non-ATPase regulatory subunit 7";"PSMD7";2;3;0,000558743835034753;2;1;2;1;0,000877214486137232;0,000442671743135409;"cytosol, nucleus, nucleoplasm, proteasome regulatory particle, proteasome complex, extracellular vesicular exosome";0,000513874614594039
"297";297;"P52209";"P52209";"P52209";"6PGD_HUMAN";"6-phosphogluconate dehydrogenase, decarboxylating";"PGD";5;8;0,000999492077577694;4;4;4;4;0,00117688403109094;0,00118779001884781;"extracellular vesicular exosome, cytosol";0,0013703323055841
"298";298;"P52272";"P52272-1,P52272-2";"P52272-1,P52272-2";"HNRPM_HUMAN";"Heterogeneous nuclear ribonucleoprotein M";"HNRNPM";28;60;0,00247990414453781;26;24;31;29;NA;NA;"paraspeckles, integral component of plasma membrane, nuclear matrix, nucleus, spliceosomal complex, nucleoplasm, catalytic step 2 spliceosome";0,0102774922918808
