"";"1";"2";"3";"4";"5";"6";"7";"8"
"GO:0071556";1,46738012579699e-19;3,19326879850592e-12;1,22914432673932e-22;0,011143134987775;0,177129727200364;0,459556327733062;0,0659921193022716;0,00447897676728561
"GO:0030670";7,47463546297625e-16;3,54327782563275e-11;3,36592733328983e-13;0,0183483940083191;0,215417490594853;1;0,0136404035695567;0,0311410369859028
"GO:0043005";0,0225638632858761;0,331978934784708;0,555031857552822;0,286619061058654;0,481157987475797;0,148673350845011;0,0399393905447929;0,699785186669309
"GO:0030027";1,55574665321897e-06;0,0253364693341029;0,0108363883059469;0,135397544090095;0,481157987475797;1;0,211172900322824;0,699785186669309
"GO:0005938";0,0736266957348039;0,556592055844643;0,807785710249196;0,0326821647701867;0,416945756037505;0,453228444715628;0,0220244744309493;0,283518184047617
"GO:0043234";0,0146722078616433;0,0440443905317082;0,0219601363413549;0,00266282023829607;0,0350796851619487;0,0830299843679537;0,0214897077002362;0,00220487258058509
"GO:0005794";0,259157958020212;0,145822548281753;0,163477082776154;0,0249216772454922;0,84261193134797;0,687159958171947;0,46949397079805;0,419969248552443
"GO:0005802";0,0392423278486556;0,250408173935894;1;0,873882000484881;0,707007327521758;1;0,693986803707898;1
"GO:0005815";0,331045213698124;0,10063501404104;1;0,854947613143049;0,681673076984496;1;0,183754328447342;1
"GO:0009986";1,42173628621611e-06;2,45089288911106e-08;5,0894633810181e-13;3,02706042989602e-05;0,000691742289342083;0,00317121773439909;0,00867848561073778;7,73344721045563e-06
"GO:0031436";1;1;1;1;1;1;1;1
"GO:0070531";1;1;1;1;1;1;1;1
"GO:0005796";0,766778587257846;1;1;1;1;1;1;1
"GO:0043202";0,95968283185289;0,965812820477949;1;1;1;1;1;1
"GO:0005583";1;1;1;1;1;1;1;1
"GO:0009897";0,000595345058298233;2,12527555372607e-05;1,37592142823272e-16;0,06079602793846;0,920350302244177;1;0,872431341531877;0,84573714447477
"GO:0070971";1;1;1;1;1;1;1;1
"GO:0005793";0,000551358238335705;3,29680653774232e-05;0,20205698114176;0,121781102670552;0,0059154628252003;0,264553781450019;0,0136211153614279;0,0164947415874544
"GO:0033116";0,0757652928174042;2,55581953034776e-05;1;0,126782065788515;1;1;0,163043521201474;0,240199251538619
"GO:0005801";0,415798045591381;0,75766183990221;1;1;1;1;1;0,255514409638748
"GO:0005788";0,00846195842077013;0,0161318522660945;0,500407105854908;0,00194274147033357;0,00901014723727436;0,0170358196486304;0,000699307625581052;0,00776597857709587
"GO:0005594";1;1;1;1;1;1;1;1
"GO:0034707";0,979447077559014;1;0,539726928574057;0,67980268118404;1;1;0,736829266551918;1
"GO:0005576";1;0,999999997938653;0,873496502127666;0,999755837543337;0,996601127773306;0,811826457586316;0,99994859312371;0,894252804197051
"GO:0005764";0,950622882841737;0,201316540039446;0,632304496481054;0,82251047466508;1;0,546206926058615;0,883443754400061;0,750283032347521
"GO:0005770";0,664217908164648;0,513551469737256;0,709472146585585;1;1;1;0,623178838345336;0,548229743002753
"GO:0005765";0,00292719965289266;9,71231825574748e-05;3,08383088726097e-05;0,809179101720882;0,964943322966449;1;0,634692156833364;0,44407103923757
"GO:0030133";0,582954441588968;0,639170127060386;1;1;0,462066596977505;1;0,119670311378783;1
"GO:0005654";1,54835620837154e-31;1,93102052038046e-49;0,0202560771945512;8,46140423121189e-18;1,26883005618104e-20;0,000282830091569045;3,25608906009256e-27;5,04541930660131e-13
"GO:0017053";0,895648355284809;0,363471011750017;0,509594487016021;0,648571326097209;0,462066596977505;1;0,706492972758491;0,367475591030103
"GO:0097504";0,615713721135668;1;1;0,16950970520999;1;1;1;1
"GO:0005681";0,0153680526401912;0,0137423666680461;0,574809922237391;0,352542849180089;0,524881641449063;0,268811015151303;0,0146891208437642;0,422915570901888
"GO:0005913";0,125540409305054;0,318315335515684;0,316010964347573;0,427326676197153;1;0,129810890014574;0,479749494048418;0,216636736178827
"GO:0000790";0,233601826750707;0,371935722243964;0,735875936618149;0,303402048723605;0,0281286740071656;0,385767153700923;0,189168699777371;0,208784113752282
"GO:0032059";0,181876625504869;1;1;1;1;1;1;1
"GO:0005874";3,30174160529932e-15;6,02121635931445e-06;0,000584856410749873;1,02462351090122e-10;9,25892988436193e-06;0,0824383492542734;8,10066110252029e-10;0,161638290013052
"GO:0005813";0,000260450308117621;0,230584210981913;0,117856324000908;0,000906459068419294;0,420769629000327;1;0,13407709704478;0,611846930434408
"GO:0005868";0,145129573114889;0,109205258111263;1;0,243184957054126;0,152278528692074;1;0,278645295630543;1
"GO:0005667";0,92296063741663;0,94210698042585;0,848263371123448;0,0564564091735985;0,556043921604694;0,708869419295395;0,676161475877334;0,168140359393711
"GO:0030529";4,40509368293571e-13;1,2400324915835e-19;2,32694561310663e-06;4,99752902669437e-14;1,41713930825703e-16;6,90146640662028e-05;7,28233096966088e-24;1,05308990493907e-11
"GO:0045211";0,939339180586674;0,994100583340958;0,792150599354516;1;1;1;0,961750857932452;0,850413527126804
"GO:0000786";4,0794872515461e-05;0,000172370595198324;0,631376450285822;0,0031818852387581;1,81624351230945e-07;2,88039448912721e-09;4,41378589160246e-05;1,37333498381126e-08
"GO:0005768";0,350224289892061;0,201297966059582;0,282796300857806;0,510744548206635;1;1;0,617369752500857;0,699785186669309
"GO:0042470";3,72631897206815e-17;1,6387067609451e-35;1,40189680769153e-24;4,95720499728096e-27;2,04600530750017e-11;8,97548881086315e-07;4,59769915547862e-20;4,09042660824012e-20
"GO:0005905";0,00489818033080522;0,66272232270971;0,168089439309734;0,293421070182145;0,476704632273937;1;0,360904309929659;0,380236556650065
"GO:0016023";0,411379154155733;0,180126982251418;0,785162955964709;0,183550014709241;0,383372102755093;0,430496860972663;0,263426124576825;1
"GO:0005865";0,380060635360767;0,177480211479197;1;0,0886791457291207;1;0,0228964533956244;1;0,0398568933933343
"GO:0005743";0,0235904572971453;3,46230175587552e-09;0,0180234271770559;1,97175160545233e-08;4,09757273273695e-11;0,768323652137653;7,84121871383727e-15;0,0141792611345159
"GO:0031225";0,970947853657764;0,775205284150693;0,0297269942745435;1;1;1;1;1
"GO:0043231";0,68431850853526;0,802987341650733;0,164186866145799;0,60909946142577;0,707007327521758;1;0,911711309750285;1
"GO:0005739";0,0424301560162866;5,63726176801427e-07;0,193558207195669;1,85700272499257e-05;0,00168969834934355;0,123387733734525;3,12152116256699e-06;0,0282757501137904
"GO:0030659";0,029613350315858;0,0694368751802107;0,00149914174248703;0,00325552492312472;0,0158164909806238;1;0,0252714452659013;0,00466073346628961
"GO:0032302";1;0,0930667520337761;1;1;1;1;1;1
"GO:0032301";0,212627849762849;0,00227003553099092;1;1;1;1;1;1
"GO:0000228";0,205691364207056;0,264549577372918;1;0,385977251877192;1;1;0,435447160568704;1
"GO:0042383";0,000151194196234212;0,141893010904263;0,0129914831529649;0,385575064117247;0,550399663612771;0,00459387482758867;1;0,116659541009851
"GO:0016012";1;1;1;1;1;1;1;1
"GO:0097481";0,615713721135668;1;1;1;1;1;1;1
"GO:0060076";0,266403300725325;0,542403834205116;1;1;1;1;1;1
"GO:0017146";1;1;1;1;1;1;1;1
"GO:0005763";1;0,228644498091542;1;1;0,230194332786147;1;0,00144411056106657;1
"GO:0070044";1;1;1;1;1;1;1;1
"GO:0005759";0,000494457146074756;2,01902475232491e-19;0,00171735498665373;8,94484660622607e-11;1,12030952152142e-06;0,119296926051201;2,25407737738539e-12;0,00535485211564263
"GO:0031252";0,0139935468456792;0,0254605678970107;0,316010964347573;0,104171784472434;0,0421708063289065;1;0,0256145662094031;0,0242852235771308
"GO:0005875";0,181418485902843;0,732758136702397;1;0,465897137829877;0,310539410908262;1;0,163043521201474;1
"GO:0000235";1;1;1;1;1;1;0,0268443128546766;1
"GO:0000776";0,00102724348310975;0,0192409436797264;0,509594487016021;1;0,125858220088445;1;0,00121855765982678;1
"GO:0031512";0,615713721135668;1;1;1;1;1;0,195655598363943;1
"GO:0031982";0,573639626544256;0,719363458139356;1;1;1;1;0,153551621292853;1
"GO:0005871";0,0115555653431501;0,376615123874606;0,517307095973929;0,284889575285344;0,469435912142551;1;0,0345020224991737;0,373888425047849
"GO:0005635";0,086308080879463;0,00653695281373741;0,735875936618149;0,0127607696762349;0,0281286740071656;1;0,00186828058624235;0,0535645400667555
"GO:0005638";0,380060635360767;0,177480211479197;1;0,0886791457291207;0,00109692820915847;1;0,00416358281452615;0,0398568933933343
"GO:0005637";0,0453921875109158;7,07294586641465e-06;1;0,00467432147770465;0,000707483461024485;1;1,15028167284067e-05;0,0367969341150459
"GO:0001673";0,0796013178215594;0,519481313143206;1;1;1;1;1;1
"GO:0005712";1;1;1;1;1;1;1;1
"GO:0032390";1;1;1;1;1;1;1;1
"GO:0000795";0,23465120431234;0,519481313143206;1;1;1;1;1;1
"GO:0014069";0,0757602598331355;0,494339974569143;0,195461276715834;0,385010321621228;0,383372102755093;1;0,119932960534978;0,627903032498896
"GO:0031011";0,478951639230301;0,141577326736419;1;1;0,175309068229394;1;0,0528899322722126;1
"GO:0000123";0,516536321525371;0,519481313143206;1;1;0,186589468609645;1;0,33522791700281;1
"GO:0005798";0,313148431580741;0,386472981051252;0,146321356831908;1;1;1;1;1
"GO:0005795";0,468096216857357;1;1;1;1;1;1;1
"GO:0030136";0,33573366102845;1;1;1;1;1;1;1
"GO:0042629";1;1;1;1;1;1;1;1
"GO:0042588";0,301339818325817;0,136303070325015;1;1;1;1;1;1
"GO:0071013";1,46759458031138e-20;2,21900644346221e-34;0,718553479135231;3,20330427994857e-11;5,42418217433057e-26;0,000100199178932835;4,75901947209972e-19;1,37806597437646e-12
"GO:0005839";1,0074454305766e-10;4,03532471013778e-08;1;0,00757888268180407;1;1;5,13326351020871e-06;1
"GO:0045335";0,0876576721952394;0,0017643529544551;1;0,0257077444843596;0,319976142955817;1;0,0383346459122817;0,247895622397132
"GO:0022625";3,93564504882064e-34;1,44072923254687e-48;5,42015890162463e-20;1,72670066622149e-49;7,42146221821175e-05;1,92525493534227e-08;5,92588059120936e-11;5,00391293134892e-20
"GO:0005840";0,049621450563522;0,00912564138572651;0,0436696221926689;0,000136262735201916;1;0,251634073072946;0,0448336187360433;0,0910043837474231
"GO:0005787";0,301339818325817;0,136303070325015;1;1;1;1;1;1
"GO:0001669";0,161176899907123;0,120511991207073;0,0108305774570304;0,0084451561314342;0,531393332375718;1;0,0599163303146731;0,428768933326563
"GO:0031902";0,709801009254122;0,143314970115466;0,00310770293459409;1;1;1;0,916408247561652;0,604384186075282
"GO:0055037";0,465075011665223;0,287982327635555;0,594566591656753;0,734200348846816;1;1;0,788433331584862;0,440298999928732
"GO:0030139";0,214070398984361;0,245023317925008;0,434412543396175;1;1;1;1;1
"GO:0016324";0,00775170192466447;0,246932311153333;1,00930061622296e-05;0,132439095591395;0,351268188439559;0,038254511582134;0,537407892116181;0,00704119530731195
"GO:0055038";0,333889340848402;0,13856296065198;1;0,250705531948884;1;1;0,311668224448296;1
"GO:0071953";1;1;1;1;1;1;1;1
"GO:0005578";0,82770426305124;0,995351171703778;0,952701928139036;0,988647799425829;0,929711512816591;0,672743915343064;0,994750751936338;0,859347255966866
"GO:0030315";0,389192022164325;0,146920643967517;0,0710270243069305;0,478168994283534;1;1;1;1
"GO:0016529";0,0379630600102893;0,675019760280463;1;1;1;1;1;1
"GO:0033017";0,0139935468456792;0,104037323440352;0,0540051261574853;0,0169863004880522;1;1;1;0,216636736178827
"GO:0005929";0,119886658999946;0,543532174918328;0,363834653730241;0,115692534436506;0,672752367822928;0,0797884592531602;0,37111810217916;0,197719820140652
"GO:0031201";0,807902848018127;0,353665243686106;1;1;1;1;0,507339028752484;0,232424510925931
"GO:0030667";0,478951639230301;0,495411774563809;1;1;1;1;1;0,13271756682561
"GO:0000781";0,675999513063427;1;1;1;1;1;1;1
"GO:0030915";1;1;1;1;1;1;1;1
"GO:0005783";0,036181503938792;0,0112757501584971;0,574114928777995;0,248179037122233;0,871970852975379;0,930373070855556;0,449083465364885;0,179259725514252
"GO:0016607";5,06850066728684e-09;9,65749120099647e-08;0,915999709165482;0,000973168971649302;0,00139978580563356;0,59616889463942;0,000307456743609229;0,0213513674908962
"GO:0032983";1;1;1;1;1;1;1;1
"GO:0030666";0,429045490427971;0,271063140187348;0,119490547198025;0,586427301087402;0,407545782260714;0,197666178085347;0,271705552172325;0,320718121277798
"GO:0032281";1;0,745514122469048;1;1;1;1;1;1
"GO:0030141";0,966022585703426;0,770749354943463;0,230904380669536;0,385575064117247;0,550399663612771;1;0,794128712999046;0,445976885172924
"GO:0031362";0,617978983333905;0,585023652261444;0,24784849440566;1;1;1;1;1
"GO:0034364";0,869026540485699;0,564233944144266;1;1;1;1;0,37046615624627;1
"GO:0016323";0,043711937643892;0,358603587205182;4,9799860665027e-08;0,106367429310992;0,128056200779687;0,00908191933836884;0,526196010588166;0,0144185627138868
"GO:0000775";0,0310500391439741;0,297380704194526;0,469149362056274;0,0635148262533924;1;1;0,0916618470342821;1
"GO:0015629";5,6882874238069e-05;0,000315183783606636;0,00992944102940779;0,000743779848844342;0,00480412181432795;0,0571017643557398;0,00258164717019999;0,0188396236489921
"GO:0005882";1,13640667917878e-06;0,000562517483041096;1,85488298002944e-05;0,000334896042128943;0,000327722110837659;1,02657392026371e-29;0,112421552887317;7,48626380277862e-13
"GO:0005819";0,0270405645656195;0,00430449315204475;0,424677367976486;0,0192442334997001;0,131678287824199;1;3,55456592093846e-05;0,238556238778483
"GO:0016592";0,0811042639422415;0,810243672883792;1;0,546111552928773;0,373954190895236;1;0,603843271318793;1
"GO:0016328";0,00115122417147905;0,232155944162131;1;0,556543964964171;1;0,0173678557726994;1;0,0487133084036102
"GO:0005758";0,0763580755601912;0,00649722489329972;1;0,0224508857760119;0,0263315547132957;0,238489375578218;0,0082952610735596;0,380236556650065
"GO:0000794";0,045952897731826;0,0254605678970107;1;0,427326676197153;1;1;0,134923084986389;1
"GO:0016939";1;1;1;1;1;1;1;1
"GO:0005876";0,415798045591381;0,158421090943948;0,368083689406712;1;1;1;0,182318356724756;1
"GO:0043679";0,807902848018127;1;1;0,453337320346864;0,300972204056323;1;0,153551621292853;1
"GO:0043196";1;1;1;1;1;1;1;1
"GO:0016589";0,00199703984447299;0,0299558926627494;1;1;1;1;0,150653148882826;1
"GO:0030017";0,2306170828314;0,0188908262464437;0,294003460159825;0,400081212452034;1;0,119663756342913;0,450617914602028;0,200525849098454
"GO:0030016";0,363323245259942;1;1;1;1;0,104222696856014;1;0,17573925329931
"GO:0005932";0,0850805424347201;0,744714790262355;1;0,360863507682924;0,531393332375718;1;0,436650237415214;1
"GO:0035085";0,0361022465833112;0,928710613139792;1;0,352542849180089;1;1;0,770386148555042;1
"GO:0032039";0,118310900906698;1;1;1;1;1;1;1
"GO:0005912";0,0188127115029283;0,780246997186518;0,0847722408317858;0,513321931102601;1;1;1;1
"GO:0043296";0,56690562240703;1;1;0,0102214774489941;1;1;1;1
"GO:0005776";0,927991877993433;1;1;1;1;1;1;1
"GO:0032839";0,398708878120323;0,109205258111263;0,172916803922012;0,243184957054126;1;0,0671414582056542;0,278645295630543;0,114889715116138
"GO:0032590";1;1;1;1;1;1;1;1
"GO:0044297";0,0648467482657937;0,124807411683909;0,000677155519361992;0,119119783203682;0,0052051413416071;0,139842051691632;0,0048019371589683;0,232424510925931
"GO:0001917";0,749328639545485;1;0,305094054422987;1;0,271469637459502;1;0,465381727004167;1
"GO:0032433";0,181876625504869;1;1;1;1;1;1;1
"GO:0032426";0,225248931306564;1;1;1;1;1;1;1
"GO:0016459";0,0270617669589556;0,0702483619663601;0,406881134033289;0,174812982184409;1;1;1;0,285229172154824
"GO:0042995";0,00196802650270552;0,00730093696713404;0,532371441528806;0,301938410562495;0,139738444103713;1;0,0394743639271642;0,0848848514034216
"GO:0001891";0,203641227014184;0,0265036204058697;0,198686222669606;0,00361865539509674;0,000822445971652484;1;0,00561491364815756;0,13271756682561
"GO:0045120";0,093584940771642;0,0792323899136204;1;0,207200867520532;0,128607218501543;0,0562700474414951;0,23827775387205;0,0966972183815131
"GO:0035098";0,0192855512438825;0,0792323899136204;1;0,207200867520532;0,128607218501543;1;0,23827775387205;1
"GO:0046581";0,000754237617871926;0,0524903703320925;0,118873489583513;0,16950970520999;1;1;1;0,0781326555956537
"GO:0005685";0,0119793302611649;0,0206164602899966;1;0,00501808314860421;1;1;0,127218137368942;1
"GO:0022627";1,73511282679559e-27;1,75710669770083e-39;1,57533148888838e-05;5,13821199263161e-38;7,9632388045586e-13;0,0173678557726994;1,13310596486755e-24;5,651245728212e-16
"GO:0005604";0,000664375889251124;0,604691616128163;0,0190479042906224;0,441490307173415;1;0,0543196405633501;0,829933468544292;0,484148938882379
"GO:0001533";0,918839016652695;1;1;1;1;0,000231222503392086;1;0,192347187441943
"GO:0019897";0,0546172651323147;1;1;1;0,230194332786147;0,104222696856014;0,403839738226764;0,17573925329931
"GO:0008021";0,929678499315364;1;0,625481439533542;1;0,574551826074719;1;0,815420288668089;1
"GO:0005581";0,784355223998603;1;1;1;1;1;1;1
"GO:0005777";0,520226342497633;0,224621739568803;1;0,694363719791386;0,153928888631159;1;0,399334225482905;0,0941115092844522
"GO:0005778";0,0359416602723204;0,0441683018563248;1;0,0141825990010715;1;0,211509412011626;0,0970232055916112;0,341164006982556
"GO:0043190";0,139983277452323;1;1;1;1;1;1;1
"GO:0008305";0,00357737289299661;0,0048544974660626;6,0372071564369e-08;0,427326676197153;1;1;1;1
"GO:0012505";0,885909605293647;0,891805673187415;0,346802147788849;0,837020081785668;1;1;0,880754641092464;1
"GO:0009898";0,589716018576887;1;1;0,566737096763066;1;0,0183209374686637;0,624862201018599;0,0512436708917184
"GO:0031012";0,866785988360957;0,601445932896868;0,485711784532744;0,623169095822699;0,439341115088647;0,216070992252658;0,681471751719866;0,347842279261461
"GO:0005881";0,0136576084654099;0,129961655397607;0,0263019257594391;0,0141825990010715;0,431555357274417;0,211509412011626;0,301708248634487;0,341164006982556
"GO:0036064";0,439621580342284;1;1;1;1;1;1;1
"GO:0035253";0,145129573114889;1;1;1;1;1;0,278645295630543;1
"GO:0030008";1;1;1;1;1;1;1;1
"GO:0080008";1;1;1;1;1;1;0,278645295630543;1
"GO:0034098";1;1;1;1;1;1;1;1
"GO:0009346";0,212627849762849;0,0930667520337761;1;0,0453665209172313;1;1;1;1
"GO:0031966";0,829740515849077;0,69570959283709;1;1;1;1;1;1
"GO:0030867";1;1;1;1;1;1;1;1
"GO:0000922";0,0129808726299038;0,381497887128651;0,740037843964436;0,861554883447357;1;1;0,400275687616692;1
"GO:0045121";0,00323183195748893;0,00442597557486343;5,55278739556979e-09;0,516407978307259;0,806530828475817;1;0,961137597933401;1
"GO:0033553";1;1;1;1;1;1;1;1
"GO:0005677";0,56690562240703;0,289613246565046;1;1;1;1;1;1
"GO:0042734";0,660049095028757;0,908933606643888;0,539726928574057;1;1;1;1;1
"GO:0005721";1;0,323487943169753;1;1;1;1;1;1
"GO:0030122";0,100642725194167;1;1;1;1;1;1;1
